"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"CONSEIL GENERAL DE LA SARTHE","Ouvrage de décharge en tranchée dans un remblai de voie ferrée",259347.13,64836.78,"FEDER ","PAYS DE LA LOIRE","SARTHE / LA FLECHE / FLECHE / LA FLECHE","Programme opérationnel FEDER - 2007/2013","53","Prévention des risques (...)"
"CONSEIL GENERAL DE LA SARTHE","SG FSE CG 72 - Programme départemental d'insertion",4336700,2168350,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","SARTHE","Programme opérationnel national Fonds social européen","86","Evaluation et études; information et communication"
"Conseil Général de la Vendée","subvention globale du conseil général de Vendée 2009-2011",2400000,1200000,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","VENDEE","Programme opérationnel national Fonds social européen",,
"CONSERVATOIRE BOTANIQUE NATIONAL DE BREST","POLE DE COMPETENCES SUR LES HABITATS NATURELS ET SEMI-NATURELS EN PAYS DE LA LOIRE",40734,20367,"FEDER ","PAYS DE LA LOIRE",,"Programme opérationnel FEDER - 2007/2013","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"CONSERVATOIRE BOTANIQUE NATIONAL DE BREST","POLE DE COMPETENCES SUR LES HABITATS NATURELS ET SEMI-NATURELS EN PAYS DE LA LOIRE - seconde partie (convention Etat 2008)",60000,30000,"FEDER ","PAYS DE LA LOIRE",,"Programme opérationnel FEDER - 2007/2013","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Coodémarrage 53","Coopérative d'activités et d'emploi de la Mayenne",118506,47906,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","MAYENNE","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"CORMERAIS Damien","Installation photovoltaïque pour une production d'électricité",29826.83,6781.15,"FEDER ","PAYS DE LA LOIRE","LOIRE-ATLANTIQUE / NANTES / CLISSON / GORGES","Programme opérationnel FEDER - 2007/2013","40","Energie renouvelable: én. solaire"
"COSME Annie","Installation photovoltaïque pour production d'électricité",105163.05,21000,"FEDER ","PAYS DE LA LOIRE","SARTHE / MAMERS / MAROLLES-LES-BRAULTS / DISSE-SOUS-BALLON","Programme opérationnel FEDER - 2007/2013","40","Energie renouvelable: én. solaire"
"CRUCHET Ludovic","Installation photovoltaïque pour production d'éléctricité",69923.88,14400.45,"FEDER ","PAYS DE LA LOIRE","SARTHE / MAMERS / TUFFE / SCEAUX-SUR-HUISNE","Programme opérationnel FEDER - 2007/2013","40","Energie renouvelable: én. solaire"
"CULTURE ET LIBERTE","Accompagnement vers les emplois familiaux Culture & Liberté",31108,22363,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","LOIRE-ATLANTIQUE / SAINT-NAZAIRE / SAINT-NAZAIRE / SAINT-NAZAIRE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
