"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"Association pour l'Innovation, l'Insertion et l'Accompagnement en Limousin","Accompagnement socioprofessionnel des bénéficiaires du RMI Non Salariés Agricoles",20141,10070,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CREUSE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Services Formation Emploi du Limousin","Accompagnement d'au moins 25 % des postes du chantier d'insertion Clinique du jouet dans le cadre du PLIE rural de Haute-Vienne  ",25568.33,10500,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Services Formation Emploi du Limousin","Chantier d'insertion Centre Commercial du quartier ZUS La Bastide 2008",245418,20000,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Services Formation Emploi du Limousin","Chantier d'insertion Maintenance des Espaces pUblics ZUS La Bastide/Le Vigenal",151076,7272,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Services Formation Emploi du Limousin","Chantier d'Insertion maintenance des espaces publics ZUS La Bastide/Le Vigenal 2008 ",333285.58,16000,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Services Formation Emploi du Limousin","Clinique du Livre TH 23",69000,30000,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CREUSE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Services Formation Emploi du Limousin","Encadrement technique et accompagnement socioprofessionel du chantier d'insertion Clinique du jouet à Bourganeuf",46445,23222,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CREUSE / AUBUSSON / ROYERE-DE-VASSIVIERE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Services Formation Emploi du Limousin","Encadrement technique et accompagnement socioprofessionnel du chantier clinique des jouets",47545,23772,"FONDS SOCIAL EUROPEEN","LIMOUSIN","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Varlin Pont Neuf","Référents de parcours PLIE",128450,8950,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Varlin Pont Neuf","Référents de parcours PLIE ACCES 2008",257200,17900,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
