"Prioritätsachse","Begünstigte","Maßnahmebezeichnung","Jahr der Bewilligung","Gewahrte Betrage","Bei Abschluss des Vorhabens gezahlte Gesamtbetrage"
"B","bbw Bildungszentrum Frankfurt (Oder) GmbH","Aufbauhilfe für betriebliche Ausbildung in den neuen Solarunternehmen der Stadt Frankfurt (Oder)",2007,228193.00,
"B","bbw Bildungszentrum Frankfurt (Oder) GmbH","Innovative Kooperative Verbundausbildung",2007,422123.00,
"B","Berufsbildungsverein Eberswalde e.V. ","Initiative Oberschule - IOS",2007,444878.00,
"B","Bildungsverein der Landwirtschaft Brandenburg e.V.","Verbundausbildung Landwirte und Tierwirte",2007,39035.00,
"B","Bildungsverein der Landwirtschaft Brandenburg e.V.","Verbundausbildung Fischwirte",2007,6292.00,
"B","Bildungsverein der Landwirtschaft Brandenburg e.V.","Lehrgänge zur überbetrieblichen Ausbildung im Rahmen der beruflichen Erstausbildung im Agrarbereich Forstwirte",2007,,4201.50
"B","Bildungsverein der Landwirtschaft Brandenburg e.V.","Lehrgänge zur überbetrieblichen Ausbildung im Rahmen der beruflichen Erstausbildung im Agrarbereich Molkereifacharbeiter Milchwirtschaftliche Laboranten",2007,27280.00,
"B","BIUF Verein zur Förderung sozialer Arbeit e.V.","Qualifizierung für Beschäftigte in der Jugendhilfe, Pädagogische Arbeit mit Gruppen",2007,41710.35,
"B","Brandenburgische Sportjugend im Landessportbund Brandenburg e.V.","Freiwilliges Soziales Jahr im Sport",2007,20952.00,
"B","Brandenburgische Sportjugend im Landessportbund Brandenburg e.V.","Freiwilliges Soziales Jahr im Sport",2007,13968.00,
"B","Bundesarbeitsgemeinschaft Familienbildung und Beratung e.V.","Kurs Elternberater",2007,16112.00,
"B","Bundesarbeitsgemeinschaft Familienbildung und Beratung e.V.","Kurs: Elternberater",2007,19670.00,
"B","Caritasverband der Diözese Görlitz e.V. ","Freiwilliges Soziales Jahr in der Kinder- und Jugendhilfe",2007,20286.20,
"B","Deutscher Familienverband LV Sachsen-Anhalt","Beschäftigte in Jugendhilfe Sozialpädagogische Fortbildung",2007,20999.00,
"B","Deutscher Familienverband LV Sachsen-Anhalt","Sozialpädagogische Fortbildung in Jugendhilfe",2007,20999.00,
"B","Diakonisches Werk Berlin-Brandenburg- schlesische Oberlausitz e.V.","Freiwilliges Soziales Jahr in der Kinder- und Jugendhilfe",2007,27504.00,
"B","DRK Krankenhausgesellschaft Thüringen Brandenburg gGmbH","Erstausbildung zum Altenpfleger/zur Altenpflegerin",2007,204516.00,
"B","EJF-Lazarus gemeinnützige AG ","Weiterbildung Erwachsener Vernetzung/Lernberatung",2007,33349.51,
"B","EJF-Lazarus gemeinnützige AG ","Weiterbildung Erwachsener Sozialpädagogische Fortbildung",2007,30319.06,
"B","Fachhochschule Brandenburg ","Präsenzstelle Prignitz der Fachhochschule Brandenburg",2007,94785.00,
"B","Fachhochschule Eberswalde ","Präsenzstelle Uckermark der Fachhochschule Eberswalde",2007,189000.00,
"B","Fachhochschule Eberswalde ","Nachwuchsforschung im Bereich Erneuerbare Energien für die Region Uckermark-Barnim",2007,97650.00,
"B","Familien für Kinder gGmbH ","Qualifizierung von Tagespflegepersonen",2007,91473.53,
"B","Familien für Kinder gGmbH ","Qualifizierung von Tagespflegepersonen",2007,75092.72,
"B","Förderverein Märkischer Wald e.V. ","Freiwilliges Ökologisches Jahr",2007,140556.00,
"B","Förderverein Märkischer Wald e.V. ","Freiwilliges Ökologisches Jahr",2007,190164.00,
"B","Handwerkskammer Cottbus","Ausbildung zum Maler/-in und Lackierer/-in",2007,241584.00,
"B","Handwerkskammer Cottbus","Ausbildungsplatzprogramm-Ost 2007                     Kooperatives Modell  10109",2007,2273744.72,
"B","Handwerkskammer Frankfurt (Oder)","Ausbildungsplatzprogramm-Ost 2007                     Kooperatives Modell  10105",2007,2340699.08,
"B","Hoffbauer gGmbH","Erstausbildung zum Altenpfleger/zur Altenpflegerin",2007,398268.00,
"B","Hoffnungstaler Anstalten e.V. Lobetal","Erstausbildung zum Altenpfleger/zur Altenpflegerin",2007,172224.00,
"B","Humboldt-Universität zu Berlin Abt. Erwachsenenbildung/Weiterbildung","Weiterbildung Erwachsener Vernetzung/Lernberatung",2007,39267.01,
"B","IGV Institut für Getreideverarbeitung GmbH","Errichtung einer Lernplattform und Erstellung von e- Lerninhalten für flexible Aus- und Weiterbildung im Backgewerbe",2007,155314.00,
"B","IGV Institut für Getreideverarbeitung GmbH","Errichtung ein Internetplattform und Erarbeitung von e- Learning Angeboten für die flexible Aus- und Weiterbildung im Backgewerbe",2007,233209.00,
"B","Internationale Jugendgemeinschaftsdienste, LV Brandenburg e.V.","Freiwilliges Soziales Jahr in der Kinder- und Jugendhilfe",2007,79200.00,
"B","Internationale Jugendgemeinschaftsdienste, LV Brandenburg e.V.","Freiwilliges Ökologisches Jahr",2007,114408.00,
"B","Internationale Jugendgemeinschaftsdienste, LV Brandenburg e.V.","Freiwilliges Ökologisches Jahr ",2007,212472.00,
"B","Internationale Jugendgemeinschaftsdienste, LV Brandenburg e.V.","Freiwilliges Jahr in der Denkmalpflege - Jugendbauhütte",2007,80215.25,
"B","Internationale Jugendgemeinschaftsdienste, LV Brandenburg e.V.","Freiwilliges Jahr in der Denkmalpflege - Jugendbauhütte",2007,53280.75,
"B","KMG gGmbH","Erstausbildung zum Altenpfleger/zur Altenpflegerin",2007,182988.00,
"B","Landesarbeitsgemeinschaft Multimedia Brandenburg e.V.","Medienpädagogische Zusatzqualifikation für Fachkräfte der außerschulischen Jugendarbeit - Berufsbegleitende Fortbildung der Landesarbeitsgemeinschaft Multimedia Brandenburg e. V. in Kooperation mit dem Sozialpädagogischen Fortbildungsinstitut Berlin-Brandenburg",2007,20998.80,
"B","Landesarbeitsgemeinschaft Multimedia Brandenburg e.V.","Medienpädagogische Zusatzqualifikation für Fachkräfte der außerschulischen Jugendarbeit - Berufsbegleitende Fortbildung der Landesarbeitsgemeinschaft Multimedia Brandenburg e. V. in Kooperation mit dem Sozialpädagogischen Fortbildungsinstitut Berlin-Brandenburg",2007,15001.20,
"B","Landesjugendring Brandenburg Trägerwerk e.V.","Freiwilliges Ökologisches Jahr ",2007,206700.00,
"B","Landesjugendring Brandenburg Trägerwerk e.V.","Freiwilliges Ökologisches Jahr ",2007,124020.00,
"B","Landesjugendring Brandenburg Trägerwerk e.V.","Durchführung des Freiwilligen Soziales Jahres im Land Brandenburg",2007,104760.00,
"B","Landesjugendring Brandenburg Trägerwerk e.V.","Durchführung des Freiwilligen Soziales Jahres im Land Brandenburg",2007,90792.00,
"B","Landesverband Gartenbau Brandenburg ","Lehrgänge zur überbetrieblichen Ausbildung im Rahmen der beruflichen Erstausbildung im Agrarbereich Gärtner Baumschule",2007,,855.50
"B","Landesvereinigung Kulturelle Jugendbildung Berlin e.V.","Freiwilliges Soziales Jahr - Kultur",2007,51156.00,
"B","Landesvereinigung Kulturelle Jugendbildung Berlin e.V.","Freiwilliges Soziales Jahr - Kultur",2007,34104.00,
"B","Landkreis Ostprignitz-Ruppin ","Qualifizierung von Multiplikatorinnen in der Familienbildung",2007,8805.00,
"B","Medizinische Schule Uckermark e.V.","Erstausbildung zum Altenpfleger/zur Altenpflegerin",2007,53820.00,
"B","Pferdezuchtverband Brandenburg-Anhalt eV ","Verbundausbildung Pferdewirte Zucht und Haltung",2007,,17595.00
"B","QCW GmbH Eisenhüttenstadt","Erstausbildung zum Altenpfleger/zur Altenpflegerin",2007,226044.00,
"B","Qualifizierungsförderwerk Chemie GmbH","Ausbildungsplatzinitiative 2007 der Industriegewerkschaft Bergbau, Chemie, Energie in Trägerschaft der Qualifizierungsförderwerk Chemie GmbH",2007,202560.00,
"B","Schule für Gesundheitsberufe e.V. ","Ausbildung von pharmazeutisch-technischen Assistenten",2007,357270.00,
"B","SOWI Strausberg GmbH","Erstausbildung zum Altenpfleger/zur Altenpflegerin",2007,172224.00,
"B","Stiftung SPI, Niederlassung Brandenburg ","Initiative Oberschule - IOS",2007,307660.00,
"B","WiB e.V. Weiterqualifizierung im Bildungsbereich","Weiterbildung Erwachsener Fortbildung an berufl. Schulen",2007,57936.00,
"B","WiB e.V. Weiterqualifizierung im Bildungsbereich","Weiterbildung Erwachsener Fortbildung an berufl. Schulen",2007,44064.00,
"B","WIBB gGmbH ","Bildungsarbeit mit Schulverweigerern",2007,7943.93,
"B","WIBB gGmbH ","Bildungsarbeit mit Schulverweigerern",2007,6041.86,
"B","Wohnraumbeschaffung, Instandsetzung, Beschäftigung, Betreuung gGmbH","Initiative Oberschule - IOS",2007,153826.10,
"B","Wohnraumbeschaffung, Instandsetzung, Beschäftigung, Betreuung gGmbH","Initiative Oberschule - IOS",2007,201466.04,
"B","Zukunftsbündnis Aus- u. Weiterbildung im
Handwerk e.V.  ","Ausbildungsplatzprogramm-Ost 2007  Vollzeit
geförderte betriebsnahe Ausbildungsplätze ",2007,2001183.00,
"B","Zukunftsbündnis Aus- u. Weiterbildung im
Handwerk e.V.  ","Ausbildungsplatzprogramm-Ost 2007  zeitweise
geförderte betriebsnahe Ausbildungsplätze ",2007,1548524.00,
"B","ABB Training Center GmbH & Co.KG ","Berufsfeldbreite Grundbildung, Vorbereitung zur Zwischenprüfung, Vorbereitung zur Abschlussprüfung",2008,9240.00,
"B","ABW GmbH ","Vermittlung von Kenntnissen und Fertigkeiten im gewerblich-technischen Bereich als Anlagenmechaniker Fachrichtung Apparate- und Behälterbau",2008,11520.00,
"B","ABW GmbH ","Vermittlung von Kenntnissen und Fertigkeiten im gewerblich-technischen Bereich als Elektroniker für Betriebstechnik",2008,3100.00,
"B","ABW GmbH ","Vermittlung von Kenntnissen und Fertigkeiten in der praktischen Grundlagenbildung und der Aufarbeitung von theoretischen Grundlagen des 1. Ausbildungsjahres als Elektroniker für Betriebstechnik im 2. Lehrjahr mit der Option einer Weiterführung im 3. Lehrjahr",2008,2500.00,
"B","ABW GmbH ","Vermittlung von Kenntnissen und Fertigkeiten im kaufmännischen Bereich als Bürokauffrau/-mann im 1. Lehrjahr",2008,1800.00,
"B","ABW GmbH ","Vermittlung von Kenntnissen und Fertigkeiten im kaufmännischen Bereich: Arbeitsrecht, Lohnrechnung, Rechnungswesen, Kosten- und Leistungsrechnen, Prüfungsvorbereitung; als Bürokauffrau/-mann im 3. Lehrjahr",2008,600.00,
"B","ABW GmbH ","Vermittlung von Kenntnissen und Fertigkeiten im kaufmännischen Bereich: Kosten- und Leistungsrechnung, Prüfungsvorbereitung; als Bürokauffrau/-mann im 3. Lehrjahr",2008,,345.00
"B","ABW GmbH ","Vermittlung von Kenntnissen und Fertigkeiten im kaufmännischen Bereich: Kosten- und Leistungsrechnung, Prüfungsvorbereitung; als Bürokauffrau im 3. Lehrjahr",2008,150.00,
"B","ABW GmbH ","Vermittlung von Kenntnissen innerhalb einer Zusatzqualifikation im EDV-Bereich Word, Excel, PowerPoint",2008,,4400.00
"B","ABW GmbH ","Verbundausbildung Industriemechaniker - Vermittlung von Grundlagen: Metall, Drehen, Fräsen",2008,1160.00,
"B","ABW GmbH ","Verbundausbildung, Vermittlung von Kenntnissen innerhalb einer Zusatzqualifikation im Modul Standardsoftware: Excel, Word, Power Point, Internet, im Modul Kommunikation: Email-Programme",2008,1500.00,
"B","ABW GmbH ","Verbundausbildung, Vermittlung von Kenntnissen und Fertigkeiten im kaufmännischen Bereich: Erstellen von Belegarbeiten, Buchführung, Personalwesen, Jahresabschluss; als Industriekauffrau/-mann im 2. Lehrjahr",2008,975.00,
"B","ABW GmbH ","Verbundausbildung, Vermittlung von Kenntnissen innerhalb einer Zusatzqualifikation als Industriemechaniker im 3. Lehrjahr: WIG Schweißen, E-Schweißen",2008,,300.00
"B","ABW GmbH ","Verbundausbildung, Vermittlung von Kenntnissen und Fertigkeiten als Mechatroniker im 2. Lehrjahr",2008,2120.00,
"B","ABW GmbH ","Verbundausbildung, Vermittlung von Kenntnissen und Fertigkeiten im kaufmännischen Bereich: Kosten und Leistungsrechnung, Buchführung; als Bürokauffrau/-mann im 3. Lehrjahr",2008,150.00,
"B","ABW GmbH ","Verbundausbildung, Vermittlung von Kenntnissen und Fertigkeiten als Kfz-Mechatroniker im 1. Lehrjahr",2008,1200.00,
"B","ABW GmbH ","Verbundausbildung, Vermittlung von Kenntnissen und Fertigkeiten im gewerblich-technischen Bereich als Konstruktionsmechaniker",2008,9000.00,
"B","Adsor-Tech GmbH ","Verbundausbildung. Vermittlung der praktischen Grundlagen die vom Unternehmen nicht selbst vermittelt werden können",2008,2180.00,
"B","Adsor-Tech GmbH ","Verbundausbildung. Vermittlung der praktischen Grundlagen die vom Unternehmen nicht selbst vermittelt werden können",2008,2880.00,
"B","Adsor-Tech GmbH ","Verbundausbildung. Vermittlung der praktischen Grundlagen die vom Unternehmen nicht selbst vermittelt werden können",2008,740.00,
"B","AEG SIGNUM ","Verbundausbildung Prüfungsvorbereitung zur IHK-Abschlussprüfung",2008,660.00,
"B","AEG SIGNUM ","Vermittlung von Kenntnissen und Fertigkeiten im Bereich Steuerungstechnik als Industriemechaniker im 3. Lehrjahr",2008,800.00,
"B","AEG SIGNUM ","Vermittlung von Kenntnissen und Fertigkeiten im Bereich Steuerungstechnik als Industriemechaniker im 2. Lehrjahr und Vorbereitung zur IHK-Zwischenprüfung",2008,1500.00,
"B","AEG SIGNUM ","Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen CNC-Techniken und Planung von Fertigungsprozessen als Zerspanungsmechaniker im 2. Lehrjahr",2008,3200.00,
"B","AEG SIGNUM ","Verbundausbildung Prüfungscoaching zur IHK-Abschlussprüfung",2008,200.00,
"B","AEG SIGNUM ","Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen Leistungselektronik und mechatronische Systeme als Mechatroniker im 3. Lehrjahr",2008,800.00,
"B","AEG SIGNUM ","Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen Montagetechnik, Elektronik, CNC- und SPS-Technik als Mechatroniker im 2. Lehrjahr und Vorbereitung zur IHK-Zwischenprüfung",2008,1300.00,
"B","AEG SIGNUM ","Verbundausbildung Grundbildung Metall- und Elektrotechnik für Mechatroniker",2008,3000.00,
"B","AEG SIGNUM ","Verbundausbildung Grundbildung Metall- und Elektrotechnik für Mechatroniker",2008,3000.00,
"B","AEG SIGNUM ","Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen Leistungselektronik und mechatronische Systeme als Mechatroniker im 3. Lehrjahr",2008,800.00,
"B","AEG SIGNUM ","Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen Elektropneumatik und Hydraulik als Verfahrensmechaniker für Kunststoff- und Kautschuktechnik im 3. Lehrjahr und Vorbereitung zur IHK-Abschlussprüfung",2008,600.00,
"B","AEG SIGNUM ","Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen CNC-Techniken und Planung von Fertigungsprozessen als Zerspanungsmechaniker im 2. Lehrjahr und Vorbereitung zur IHK-Zwischenprüfung",2008,1500.00,
"B","AEG SIGNUM ","Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen Montagetechnik, Elektronik-Schaltungen, CNC- und SPS-Technik als Mechatroniker im 2. Lehrjahr und Vorbereitung zur IHK-Zwischenprüfung",2008,1300.00,
"B","AEG SIGNUM ","Vermittlung von Kenntnissen und Fertigkeiten im Bereich Pneumatik als Verfahrensmechaniker für Kunststoff- und Kautschuktechnik im 2. Lehrjahr und Vorbereitung zur IHK-Zwischenprüfung",2008,2800.00,
"B","AEG SIGNUM ","Verbundausbildung - Grundbildung Metalltechnik für Zerspanungsmechaniker",2008,3000.00,
"B","AEG SIGNUM ","Verbundausbildung - Grundbildung Metalltechnik für Verfahrensmechaniker für Kunststoff- und Kautschuktechnik",2008,7440.00,
"B","AEG SIGNUM ","Verbundausbildung, Grundbildung Metalltechnik für Industriemechaniker",2008,27000.00,
"B","AEG SIGNUM ","Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen Steuerungstechnik und Pneumatik als Industriemechaniker im 2. Lehrjahr und Vorbereitung zur IHK-Zwischenprüfung",2008,11200.00,
"B","AEG SIGNUM ","Vermittlung von Kenntnissen und Fertigkeiten im Bereich Steuerungstechnik als Industriemechaniker im 3. Lehrjahr",2008,4800.00,
"B","AEG SIGNUM ","Verbundausbildung, Prüfungscoaching zur IHK-Abschlussprüfung",2008,1800.00,
"B","AEG SIGNUM ","Verbundausbildung, Prüfungscoaching zur IHK-Abschlussprüfung",2008,200.00,
"B","AEG SIGNUM ","Verbundausbildung, Vermittlung von Kenntnissen und Fertigkeiten im Bereich Pneumatik als Verfahrensmechaniker für Kunststoff- und Kautschuktechnik im 2. Lehrjahr und Vorbereitung zur IHK-Zwischenprüfung",2008,700.00,
"B","AEG SIGNUM ","Verbundausbildung, Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen SPS-Technik und Sicherheitsvorschriften als Elektroniker für Betriebstechnik und Prüfungsvorbereitung",2008,1600.00,
"B","AEG SIGNUM ","Verbundausbildung, Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen Pneumatik und Hydraulik als Konstruktionsmechaniker",2008,600.00,
"B","AEG SIGNUM ","Verbundausbildung, Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen SPS-Technik und Steuerungstechnik als Elektroniker für Betriebstechnik im 2. Lehrjahr",2008,1200.00,
"B","AEG SIGNUM ","Verbundausbildung, Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen Pneumatik und Elektropneumatik als Mechatroniker im 1. Lehrjahr",2008,1200.00,
"B","AEG SIGNUM ","Verbundausbildung, Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen Pneumatik und Hydraulik als Konstruktionsmechaniker im 3. Lehrjahr",2008,1200.00,
"B","AGUS gGmbH","Erstausbildung zum Altenpfleger/zur Altenpflegerin",2008,290628.00,
"B","Akademie für Sozial- und Gesundheitsberufe Beelitz","Erstausbildung zum Altenpfleger/zur Altenpflegerin",2008,193752.00,
"B","Aktion Kinder- und Jugendschutz, Landesarbeitsstelle Brandenburg e.V.","Berufsgruppenübergreifende Tandem-Qualifizierung: Weiterbildung zum Eltern-Medien-Trainer",2008,10568.19,
"B","Aktion Kinder- und Jugendschutz, Landesarbeitsstelle Brandenburg e.V.","Berufsgruppenübergreifende Tandem-Qualifizierung: Weiterbildung zum Eltern-Medien-Trainer",2008,12681.81,
"B","Albro Versorgungstechnik GmbH ","Verbundausbildung, Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen technisches Zeichnen, Anlagenmontage, Installation, Werkstoff, Messtechnik, Vorschriften, Steuerung, Kabel, FL als Elektroniker für Betriebstechnik im 2. Lehrjahr",2008,1400.00,
"B","Andreas Koschenz ","Verbundausbildung - Inhalte des 2. Lehrjahres für die Ausbildung zum Steinmetz",2008,3300.00,
"B","Apart Pension Babelsberg ","Verbundausbildung Vermittlung von Kenntnissen in den Bereichen Marketing, PC-Reservierungs- und Kassensysteme als Hotelfachfrau",2008,6140.00,
"B","Arbeit und Leben e.V. (DGB/VHS) Landesarbeitsgemeinschaft Berlin","Maßnahme Qualifizierung in der Jugendhilfe, Bildungsberatung Brandenburg - Entwicklungs- und Qualifizierungsvorhaben zur Lernberatung und Vernetzung im
Land Brandenburg",2008,20938.40,
"B","Arbeit und Leben e.V. (DGB/VHS) Landesarbeitsgemeinschaft Berlin","Maßnahme Qualifizierung in der Jugendhilfe, Bildungsberatung Brandenburg - Entwicklungs- und Qualifizierungsvorhaben zur Lernberatung und Vernetzung im
Land Brandenburg",2008,8973.60,
"B","Ausbildungsgemeinschaft Industrie, Handel und Handwerk e.V.","Ausbildungsplatzprogramm-Ost 2008  Vollzeit
geförderte betriebsnahe Ausbildungsplätze ",2008,3302960.00,
"B","Ausbildungsgemeinschaft Industrie, Handel und Handwerk e.V.","Ausbildungsplatzprogramm-Ost 2008  zeitweise
geförderte betriebsnahe Ausbildungsplätze ",2008,2113630.00,
"B","Ausbildungsring Cottbus e.V.","Ausbildungsplatzprogramm-Ost 2008  Vollzeit
geförderte betriebsnahe Ausbildungsplätze",2008,2804400.00,
"B","Ausbildungsring Cottbus e.V.","Ausbildungsplatzprogramm-Ost 2008  zeitweise
geförderte betriebsnahe Ausbildungsplätze ",2008,1971995.00,
