"Prioritätsachse","Begünstigte","Maßnahmebezeichnung","Jahr der Bewilligung","Gewahrte Betrage","Bei Abschluss des Vorhabens gezahlte Gesamtbetrage"
"B","ARGE IOS-Regionalpartner Potsdam GbR ","Initiative Oberschule - IOS",2007,193850.67,
"B","Ausbildungsgemeinschaft Industrie, Handel und Handwerk e.V.","Deutsch Polnische Verbundausbildung im Hotel- und Gastgewerbe",2007,458378.00,
"B","Ausbildungsgemeinschaft Industrie, Handel und Handwerk e.V.","Ausbildung zum/zur Informationselektroniker/-in",2007,271047.00,
"B","Ausbildungsgemeinschaft Industrie, Handel und Handwerk e.V.","Ausbildungsplatzprogramm-Ost 2007  Vollzeit
geförderte betriebsnahe Ausbildungsplätze ",2007,4203924.00,
"B","Ausbildungsgemeinschaft Industrie, Handel und Handwerk e.V.","Ausbildungsplatzprogramm-Ost 2007  zeitweise
geförderte betriebsnahe Ausbildungsplätze ",2007,2573898.00,
"B","Ausbildungsring Cottbus e.V.","Ausbildungsplatzprogramm-Ost 2007  Vollzeit
geförderte betriebsnahe Ausbildungsplätze ",2007,2592577.95,
"B","Ausbildungsring Cottbus e.V.","Ausbildungsplatzprogramm-Ost 2007  zeitweise
geförderte betriebsnahe Ausbildungsplätze ",2007,1173995.12,
"B","Ausbildungsring Potsdam Brandenburg e.V.","Ausbildung zum/zur Mediengestalter/-in Digital und Printmedien",2007,240076.00,
"B","Ausbildungsring Potsdam Brandenburg e.V.","Ausbildung zum/zur Sportfachmann/-frau",2007,240076.00,
"B","Ausbildungsring Potsdam Brandenburg e.V.","Ausbildungsplatzprogramm-Ost 2007  Vollzeit
geförderte betriebsnahe Ausbildungsplätze ",2007,4995759.00,
"B","Ausbildungsring Potsdam Brandenburg e.V.","Ausbildungsplatzprogramm-Ost 2007  zeitweise
geförderte betriebsnahe Ausbildungsplätze ",2007,3097048.00,
"B","Ausbildungsverbund Teltow e.V.","Ausbildung zur Fachkraft für Schutz und Sicherheit ",2007,253390.00,
"B","Ausbildungsverbund Teltow e.V.","Ausbildungsplatzprogramm-Ost 2007                     Kooperatives Modell  ",2007,850251.20,
"B","Ausbildungsverbund Teltow e.V.","Ausbildungsplatzprogramm-Ost 2007                     Kooperatives Modell  ",2007,4866385.68,
"B","Ausbildungsverbund Teltow e.V.","Ausbildungsplatzprogramm-Ost 2007                     Kooperatives Modell ",2007,1798242.20,
"B","Ausbildungsverbund Teltow e.V.","Ausbildungsplatzprogramm-Ost 2007                     Kooperatives Modell  ",2007,6725330.18,
"B","Ausbildungsverbund Teltow e.V.","Ausbildungsplatzprogramm-Ost 2007                     Kooperatives Modell  ",2007,305368.00,
"B","Ausbildungsverbund Teltow e.V.","Ausbildungsplatzprogramm-Ost 2007                     Kooperatives Modell  ",2007,175322.00,
"B","AWO LV Brandenburg e.V. ","Freiwilliges Soziales Jahr",2007,46728.00,
"B","AWO Regionalverband Brandenburg Süd e.V.","Erstausbildung zum Altenpfleger/zur Altenpflegerin",2007,301392.00,
"B","AWO SANO gGmbH Sozialakademie Potsdam","Eltern-Kind-Zentren",2007,9742.46,
"B","AWO SANO gGmbH Sozialakademie Potsdam","Eltern-Kind-Zentren",2007,12989.95,
"B","BAZ Selbelang e.V.","Erstausbildung zum Altenpfleger/zur Altenpflegerin",2007,146809.00,
