"Name of the Beneficiary","Name of the Operation","Name and Number of the Procedure","Project proposal No","Year of Allocation/ Year of Final Payment","Ammounts Committed (BGN)","Total Ammounts Paid at the End of the Operation (BGN)"
"Municipality Dolni Dabnik","Preparation of investment projects: WWTPs, sewerage and water-supply network under priority axis 1 of OPE for the settlements over 2 000 PE of Dolni Dabnik municipality - Dolni Dabnik, Sadovets village, Krushovitsa village and Gorni Dabnik","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-61-61",2009,"1159 650,00",0
"Municipality Dragoman","Preparation of infrastructure project: Improvement of the water-supply and sewerage system of Dragoman","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-69-69",2009,"1 283 133,00",0
"Municipality Dupnitsa","Technical assistance for preparation of investment project ""Reconstruction and modernization ofWWTP - Dupnitsa""","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-128-128",2009,"1 587 000,00",0
"Municipality Dve Mogili","Project development: Improvement and development of the drinking water and waste water infrastructure in Dve Mogili, Ruse region","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-64-64",2009,"1 848 720,00",0
"Municipality Elena","Technical assistance for detailed development of infrastructure proposal ""Completion the construction of the water-supply and sewerage network and water treatment in Elena ""","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-175- 175",2009,"650 920,00",0
"Municipality Elin Pelin","Preparation of investment project ""Water-supply and sewerage systems, WWTP and bringing collectors - Novi Han village ""","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-172- 172",2009,"250 000,00",0
"Municipality Etropole","Technical assistance for preparation of integrated investment project in the water sector of Etropole","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-19-19",2009,"1 458 000,00",0
"Municipality Gabrovo","Technical assistance for preparation of investment proposal for improvement of the water-supply and sewerage infrastructure of Borovo, Velchevtsi, Slavovtsi, Gachevtsi quarters, Gabrovo for subsequent financing under priority axis 1 of OPE","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-139-139",2009,"250 344,00",0
"Municipality Gabrovo","Integrated project for Gabrovo water cycle","BG161PO005/08/1.10/01/02 Improvement and development of water and wastewater infrastructure","58111-77-268",2010,"117 447 251,19",0
"Municipality Gabrovo","Technical assistance for preparation of investment project: ""Reconstrution and modernization of the existing urban solid waste landfill in Gabrorvo municipality, transformation of the existing landfill into regional landfill to service the needs of Gabrovo and Tryavna municipalities"" for subsequent financing under priority axis 2 of OP Environment 2007-2013","BG161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-44-348",2008,"369 524,00",0
"Municipality General Toshevo","Completion the construction of the water-supply and sewerage network and modernization ofWWTP, General Toshevo","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-43-43",2009,"302 067,00",0
"Municipality Glavinitsa","Construction of sewerage network to the WWTP of Glavinitsa","BG161PO005/08/1.10/01/02 Improvement and development of water and wastewater infrastructure","58111-14-205",2008,"9 582 865,04",0
"Municipality Godech","Preparation of investment project under priority axis 1 of OPE, Godech","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-68-68",2009,"1 579 397,00",0
"Municipality Gorna Oryahovitsa","Development of integrated working design: Construction of WWTP, pressure sewerage and rehabilitation of water-supply network in Polikraishte village","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-87-87",2008,"835 306,06",0
"Municipality Gorna Oryahovitsa","Development of integrated working design: Construction of WWTP, pressure sewerage and rehabilitation of water-supply network in Draganovo village","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-88-88",2008,"936 466,06",0
"Municipality Gorna Oryahovitsa","Construction of sewerage and completion of the construction of the water-supply in Parvomaytsi village","BG161PO005/08/1.10/01/02 Improvement and development of water and wastewater infrastructure","58111-32-223",2008,"9 235 929,97",0
"Municipality Gurkovo","Technical assistance for preparation of investment project ""Completion the construction, reconstruction and rehabilitation of the water-supply and sewerage network and construction of drinking water and WWTP - Gurkovo ""","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-148-148",2009,"1 328 400,00",0
"Municipality Haskovo","Extension of water-supply and sewerage network, Haskovo","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-57-57",2009,"981 326,00",0
"Municipality Haskovo","Integrated waste management in Haskovo region","BG161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-13-317",2008,"1 253 040,00",0
"Municipality Hayredin","Technical assistance for preparation of investment project for WWTP and sewerage network in Hayredin village","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-125-125",2009,"435 412,00",0
"Municipality Hisarya","Technical assistance for preparation of integrated investment project for improvement of Hisarya water sector","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-136-136",2008,"1 255 830,00",0
"Municipality Hisarya","Integrated project for improvement of Hisarya water sector: Component 1. Extension, reconstruction and modernization of Hisarya WWTP","BG161PO005/08/1.10/01/02 Improvement and development of water and wastewater infrastructure","58111-53-244",2008,"22 200 038,28",0
"Municipality Iskar","Technical assistance for preparation of investment project: Completion the construction, reconstruction and rehabilitation of the water-supply and sewerage network and construction of WWTP""- Iskar","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-26-26",2009,"1 424 400,00",0
"Municipality Ivanovo","Technical assistance for preparation of project for construction of sewerage network and WWTP - Shtraklevo village, Ivanovo municipality","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-41-41",2009,"739 944,00",0
