"BENEFICIARIO","SEDE INTERVENTO","ASSE ATTIVITA","OGGETTO AGEVOLAZIONE","ANNO ASSEGNAZIONE"," AGEVOLAZIONE CONCESSA "," IMPORTO EFFET. PAGATO "
"PASTORFRIGOR S.P.A.","TERRUGGIA","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"22,476.35 €","  "
"PAVESMAC S.R.L.","PEVERAGNO","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"150,000.00 €","75,000.00 €"
"PEGASO","STRAMBINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"356,447.97 €","  "
"PEGASO SISTEMI S.R.L.","TRIVERO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"4,950.00 €","  "
"PERARDI E GRESINO","FAVRIA","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"123,982.50 €","61,991.25 €"
"PERCORSI","BIELLA","I-3-2"," ADOZIONE TIC",2010,"48,575.60 €","  "
"PERMICRO","TORINO","I-3-2"," ADOZIONE TIC",2010,"123,336.50 €","  "
"PGM","VALDUGGIA","II-1-2"," ENERGIA - SOSTENIBILITA",2009,"226,047.55 €","178,421.25 €"
"P.G.R.","TORINO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"867,250.83 €","756,869.54 €"
"PHOTOVOX SRL","VALPERGA","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"17,000.00 €","  "
"PICCININI SISTO DI PICCININI ANDREA, GEOM. CARLO & C.","CHIERI","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"462,244.53 €","459,976.02 €"
"PIEFFE","TORINO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"622,518.75 €","  "
"PIEMONTE PARQUETS","ROVASENDA","I-3-2"," ADOZIONE TIC",2010,"33,935.27 €","  "
"PISCAZZI LAVORAZIONI MECCANICHE SRL","COLLEGNO","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"11,311.29 €","5,655.64 €"
"PITTATORE GROUP","TORINO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"675,869.46 €","675,869.46 €"
"PIZZORNI","PREDOSA","I-Ri3-a","LR34-04 -- INNOVAZIONI",2008,"139,357.50 €","139,357.50 €"
"PLAN-IT ENGINEERING","TORINO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"6,225.00 €","  "
"PLASTIPOL SRL","OVADA","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"88,685.75 €","44,342.87 €"
"PLENUM CONSULTING GROUP","TORINO","I-Ri3-c","LR34-04 - ASSE I MIS. RI3 LINEA C - TECNOLOGIE",2009,"10,000.00 €","10,000.00 €"
"PLUSERVICE","SENIGALLIA","I-3-1"," ICT",2010,"291,600.00 €","  "
"POLIMATICA","TORINO","I-3-1"," ICT",2009,"178,515.00 €","  "
"POLIRESIN","MILANO","I-Ri1-a","MANUNET 2007",2007,"188,000.00 €","56,400.00 €"
"POLITECNICO DI TORINO","TORINO","I-1-1","BIOTECNOLOGIE",2009,"425,978.74 €","170,391.49 €"
"POLITECNICO DI TORINO","TORINO","I-Ri7-a","LR34-04 -  AEREOSPAZIO",2008,"1,179,400.00 €","471,760.00 €"
"POLITECNICO DI TORINO","TORINO","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"1,452,200.00 €","580,888.00 €"
"POLITECNICO DI TORINO","TORINO","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"4,005,560.00 €","1,602,224.00 €"
"POLITRONICA INKJET PRINTING","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"146,155.95 €","  "
"PORTALUPI CARLO IMPRESA","TICINETO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"292,921.26 €","277,500.00 €"
"POWERCON SRL","CINISELLO BALSAMO","I-Ri7-a","LR34-0- AEREOSPAZIO",2008,"135,100.50 €","  "
"PRAXAIR SURFACE TECHNOLOGIES SRL","MILANO","I-Ri7-a","LR34-04  AEREOSPAZIO",2008,"25,000.00 €","  "
"PRETI","CARPENETO","I-3-2","ADOZIONE TIC",2010,"54,825.00 €","  "
"PREVE COSTRUZIONI","ROCCAVIONE","I-3-2"," ADOZIONE TIC",2010,"52,090.00 €","  "
"PREVE COSTRUZIONI","ROCCAVIONE","I-Ri3-a","LR34-04 -- INNOVAZIONI",2008,"150,000.00 €","75,000.00 €"
"PRIMA INDUSTRIE","COLLEGNO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"478,881.50 €","  "
"PRISMA IMPIANTI","OVADA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"83,459.22 €","71,370.89 €"
"PRIULI & VERLUCCA EDITORI SRL","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"3,263.11 €","  "
"PROGETTO E LAVORO S.C.","TORINO","I-3-2","ADOZIONE TIC",2010,"27,070.00 €","  "
"PROGIND SRL","AZEGLIO","I-Ri1-a","MANUNET 2008",2008,"300,000.00 €","  "
"PROPLAST","TORTONA","I-1-2","GESTORI DEI POLI D'INNOVAZIONE",2009,"150,000.00 €","  "
"PROTOCAST","CAMERI","I-Ri7-a","LR34-04- AEREOSPAZIO",2008,"371,000.00 €","111,300.00 €"
"PROTOCAST","CAMERI","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"334,693.28 €","  "
"PROXIMA CENTAURI","TORINO","I-3-1"," ICT",2009,"190,400.00 €","  "
"PSG DI BALDI & C.","SANTENA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"55,399.10 €","47,385.00 €"
"P.S.V.","VERCELLI","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"1,409.40 €","  "
"PUBBLI&CO SAS","OULX","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"20,000.00 €","  "
"QUALITY BIELLA  - DIV. VALSESIA DI T. TOMASELLI E C.","COSSATO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"86,250.00 €","  "
"QUANTUM","CUNEO","I-3-2","ADOZIONE TIC",2010,"28,360.00 €","  "
"QUINTINO","TORINO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"69,326.01 €","  "
"RAMONDETTI GUIDO","PIANFEI","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2010,"117,235.19 €","  "
"RAVIOLIFICIO BERTOLI DI BERTOLI PIERO & C.","VARALLO SESIA","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"18,684.84 €","  "
"RBM SPA - GRUPPO MERCK SERONO","COLLERETTO GIACOSA","I-1-1","BIOTECNOLOGIE",2009,"405,000.00 €","  "
"RBM SPA - GRUPPO MERCK SERONO","COLLERETTO GIACOSA","I-1-1","BIOTECNOLOGIE",2009,"411,300.00 €","  "
"REBOLA DI REBOLA PIERO & C. S.N.C.","AIRASCA","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"14,979.74 €","7,489.87 €"
"REFIL","RIVOLI","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"571,942.44 €","571,942.44 €"
"REG.MA","MATHI","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"148,730.90 €","  "
"REG.MA","MATHI","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"22,842.86 €","11,421.43 €"
"REGOLA","TORINO","I-3-1"," ICT",2010,"219,000.00 €","  "
"REY PASTIFICIO","SAN DAMIANO D'ASTI","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"150,000.00 €","75,000.00 €"
"RGM","NOVARA","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"14,960.00 €","  "
"Ribes Informatica","IVREA","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"101,915.86 €","  "
"RICCI CARLO SRL","VALENZA","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"10,013.20 €","  "
"RIGERPLAST POLIMERI","CARAMAGNA PIEMONTE","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"20,362.25 €","  "
"RIPETTINATURA PORRINO ARTURO & FIGLI","QUAREGNA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"209,645.14 €","182,625.00 €"
"RISI&CO","LIGNANA","I-3-2","ASSE i ATTIVITA' i.3.2 ADOZIONE TIC",2010,"43,810.00 €","  "
"RODA FORGE","FRONT","I-Ri3-c","LR34-04 -- TECNOLOGIE",2008,"22,434.35 €","  "
"ROLLE GIACOMO","RIVARA","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"45,461.62 €","45,461.62 €"
"ROMANI & C. S.P.A.","GENOVA","I-Ri3-a","LR34-04  INNOVAZIONI",2008,"122,998.16 €","61,499.08 €"
"ROTAIR S.P.A.","CARAGLIO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"10,500.00 €","5,250.00 €"
"ROTOSTATIC","BORGARO TORINESE","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"30,782.38 €","15,391.19 €"
"RTM","VICO CANAVESE","I-Ri7-a","LR34-04  - AEREOSPAZIO",2008,"156,000.00 €","  "
"RTM","VICO CANAVESE","I-Ri1-a","MANUNET 2008",2008,"275,000.00 €","  "
"RTM","VICO CANAVESE","I-Ri1-a","MANUNET 2008",2008,"352,000.00 €","  "
"RTM","VICO CANAVESE","I-Ri1-a","MANUNET 2008",2008,"240,000.00 €","  "
"RUBINETTERIA BUGNATESE SRL","GOZZANO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"12,246.62 €","6,123.31 €"
"RUBINETTERIA MALGORANI PIETRO","COLAZZA","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"60,989.84 €","60,989.84 €"
"RUBINETTERIE EURORAMA","QUARONA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"263,461.81 €","232,863.75 €"
"SAET","LEINI'","I-Ri7-a","LR34-04  - AEREOSPAZIO",2008,"155,000.00 €","  "
"S.A.I.T.","BRANDIZZO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"585,946.87 €","558,520.77 €"
"SAN MARCO INTERNATIONAL","BORGOMANERO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"4,725.00 €","4,725.00 €"
"S.A.N. SYSTEMS APPLICATIONS NETWORKING","TORINO","I-3-1"," ICT",2009,"200,000.00 €","  "
"SASIL","BRUSNENGO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"204,370.08 €","202,083.56 €"
"SASIL","BRUSNENGO","II-1-2","ENERGIA - SOSTENIBILITA",2008,"243,537.00 €","243,537.00 €"
"SASIL","BRUSNENGO","I-Ri3-b","LR34-04  TUTELA AMBIENTALE",2008,"63,912.42 €","31,956.21 €"
"SASIL","BRUSNENGO","I-Ri1-a","MANUNET 2007",2007,"332,000.00 €","265,600.00 €"
"SASSO","CUNEO","I-Ri1-a","MANUNET 2008",2008,"125,465.50 €","  "
"SATA","QUARGNENTO","I-3-2"," ADOZIONE TIC",2010,"97,912.50 €","  "
"SATA SERVIZI TECNICI SRL","MONTALENGHE","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"21,288.35 €","  "
"SCATOLIFICIO MONTEROSA","TORINO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"297,675.00 €","  "
"SCIENZE CLINICHE","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"142,310.00 €","58,623.68 €"
"scienze cliniche","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"200,000.00 €","100,000.00 €"
"scienze cliniche","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"119,165.20 €","59,582.60 €"
"SDS STAMPA DIOCESANA SEGUSINA SRL","SUSA","I-3-2"," ADOZIONE TIC",2010,"52,000.00 €","  "
"SEA MARCONI TECHNOLOGIES DI VANDER TUMIATTI","TORINO","II-1-2","ENERGIA - SOSTENIBILITA",2009,"703,295.93 €","610,077.90 €"
"SEAC02","TORINO","I-Ri7-a","LR34-04 -  AEREOSPAZIO",2008,"140,000.00 €","14,462.00 €"
"SECURITY &AUTOMATION TECHNOLOGIES SRL","TORINO","I-Ri3-c","LR34-04 -TECNOLOGIE",2008,"20,600.00 €","  "
"SECURITY BOLT","CERESOLE ALBA","I-Ri3-a","LR34-04  INNOVAZIONI",2008,"78,815.55 €","39,407.77 €"
"SECURITY CA' SERVICE DI CASCINO SALVATORE","TORINO","I-Ri3-c","LR34-04 TECNOLOGIE",2008,"20,000.00 €","10,000.00 €"
"SEED","TORINO","I-Ri3-c","LR34-04 -- TECNOLOGIE",2008,"20,000.00 €","20,000.00 €"
"SE.GE.L","COLLEGNO","I-3-2"," ADOZIONE TIC",2010,"91,500.00 €","  "
"S.E.I.C.A","STRAMBINO","I-Ri3-c","LR34-04 -- TECNOLOGIE",2008,"20,960.00 €","  "
"SEICI","TORINO","I-Ri3-a","LR34-04 - - INNOVAZIONI",2008,"44,327.25 €","22,163.62 €"
"SEIWAY SOCIETA' A RESPONSABILITA' LIMITATA SIGLABILE SEIWAY S.R.L","TORINO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"12,625.00 €","  "
"SELET SENSOR","TORINO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"208,768.85 €","  "
"SELEX GALILEO","CAMPI BISENZIO","I-Ri7-a","LR34-04 -  AEREOSPAZIO",2008,"2,228,518.74 €","  "
"SEPA","POIRINO","I-Ri3-a","LR34-04- INNOVAZIONI",2008,"17,445.30 €","17,445.30 €"
"SEPA","TORINO","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"51,600.00 €","7,497.48 €"
"S.E.P.I.","SETTIMO TORINESE","I-3-2"," ADOZIONE TIC",2010,"40,550.00 €","  "
"SEQUOIA IT","MONCALIERI","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"161,277.79 €","80,638.89 €"
"SERPLAST S.R.L. DI MARCON GIOVANNI & C. SIGLABILE  SERPLAST S.R.L.","BUSSOLENO","I-Ri3-c","LR34-04 -  - TECNOLOGIE",2008,"22,500.00 €","  "
"SETEL","ROMA","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"22,054.00 €","  "
"S.I.A.T. S.P.A.","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"21,613.55 €","  "
"SICA DI SIMONE CINI & C.","NOVI LIGURE","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"795,361.28 €","795,361.28 €"
"S.I.C.M.A.T.","PIANEZZA","I-Ri3-c","LR34-04  - TECNOLOGIE",2008,"20,682.00 €","20,682.00 €"
"SICME MOTORI","TORINO","II-1-2"," ENERGIA - SOSTENIBILITA",2008,"1,018,105.48 €","914,150.00 €"
"SICME MOTORI","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"21,500.00 €","  "
"SICME MOTORI","TORINO","I-Ri7-a","LR34-04  - AEREOSPAZIO",2008,"42,162.30 €","5,228.12 €"
"SILEM SRL","NOVI LIGURE","I-Ri3-a","LR34-04  - INNOVAZIONI",2008,"27,291.25 €","13,645.62 €"
"SIL.MA ASCENSORI DI  BATTAGLIO ROBERTO","TORINO","I-3-2"," ADOZIONE TIC",2010,"23,604.00 €","  "
"SILMAX SPA","LANZO TORINESE","I-Ri3-a","LR34-04 - - INNOVAZIONI",2008,"90,312.77 €","45,156.38 €"
"SILMAX SPA","LANZO TORINESE","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"76,375.00 €","  "
"SILO","CUNEO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"98,905.61 €","90,000.00 €"
"SILVY DI BONNIN VITTORIO","LUSERNA SAN GIOVANNI","I-Ri3-a","LR34-04 - - INNOVAZIONI",2008,"10,486.64 €","5,243.32 €"
"S.IM.A.T.EC. DI ELENA RUBATTO & C.","VAIE","I-Ri3-c","LR34-04 -  - TECNOLOGIE",2008,"16,730.34 €","8,365.17 €"
"S.I.ME. SOCIET€ INDUSTRIA MECCANICA","MILANO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"64,575.00 €","  "
"SIMIC","CAMERANA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"1,029,055.11 €","1,015,108.65 €"
"SINAPSI","MILANO","I-3-1"," ICT",2010,"225,000.00 €","  "
"SIPEA - SOCIETA' ITALIANA PUBBLICITA' ED AFFISSIONI","SAN MAURO TORINESE","I-3-2"," ADOZIONE TIC",2010,"104,541.00 €","  "
"SIR COLOR","LA MORRA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"179,236.65 €","151,151.54 €"
"SIRCHEM ITALIA","CARAMAGNA PIEMONTE","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"44,772.04 €","44,772.04 €"
"SIRIO","ROSTA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"92,559.27 €","  "
"SIR.MAS S.R.L.","GAVI","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"19,920.00 €","  "
"SISGE INFORMATICA","TORINO","I-3-1"," ICT",2010,"258,455.07 €","  "
"SISGE INFORMATICA","TORINO","I-Ri3-c","LR34-04 TECNOLOGIE",2008,"20,000.00 €","  "
"SIS-TER S.P.A.","PALAZZO PIGNANO","I-1-1","BIOTECNOLOGIE",2009,"349,500.00 €","  "
"S.I.T.E.C.","CARAGLIO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2010,"248,762.93 €","  "
"S.I.T.E.I. DI ELISA GALEAZZI & C. S.A.S.","TORINO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"22,500.00 €","  "
"S.I.V.E.  S.P.A.","CIRIE'","I-Ri1-a","MANUNET 2008",2008,"348,000.00 €","  "
"SKE","MILANO","I-1-1","BIOTECNOLOGIE",2009,"63,000.00 €","  "
"SKF Industrie","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"85,408.00 €","42,704.00 €"
"SKILLONLINE","RIVAROLO CANAVESE","I-3-2"," ADOZIONE TIC",2010,"198,119.75 €","  "
"SKY TECNOLOGY","MILANO","I-3-1"," ICT",2010,"155,750.00 €","  "
"SKY TECNOLOGY","MILANO","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"188,520.00 €","  "
"SKY TECNOLOGY","MILANO","I-Ri7-a","LR34-04 -  AEREOSPAZIO",2008,"33,850.00 €","  "
"SKYLAB ITALIA","TORINO","I-3-1"," ICT",2010,"259,911.20 €","  "
"SLOW FOOD EDITORE","BRA","I-Ri3-c","LR34-04 TECNOLOGIE",2008,"10,352.50 €","  "
"SMARTRM","TORINO","I-3-1"," ICT",2009,"114,500.00 €","  "
"SOCIETA' COSTRUZIONI CAPANNONI","OVIGLIO","I-Ri3-a","LR34-04 INNOVAZIONI",2008,"35,327.85 €","17,663.92 €"
"SOCIETA' ESTRAZIONE GHIAIA E SABBIA - S.E.G.E.S. DI ATTILIO GEREMIA & C.","VILLANOVA CANAVESE","I-Ri3-b","LR34-04 -  TUTELA AMBIENTALE",2008,"23,306.65 €","23,306.65 €"
"SOCIETA' IN NOME COLLETTIVO MARENCO DI TORRIELLI STEFANO E FERRARI MAURO","NOVI LIGURE","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"42,318.07 €","21,159.03 €"
"SOCIET€ PUBBLICA PER IL RECUPERO ED IL TRATTAMENTO DEI RIFIUTI - SRT","NOVI LIGURE","II-1-1"," ENERGIA - DISCARICHE",2009,"493,762.50 €","  "
"SOCIETA' VALVOSIDER SRL","BORGOSESIA","I-Ri3-a","LR34-04 -  - INNOVAZIONI",2008,"150,000.00 €","75,000.00 €"
"SOFTPLACE","BIELLA","I-3-1"," ICT",2009,"166,560.00 €","  "
"SOGENEL","OMEGNA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"291,870.04 €","261,000.00 €"
"SOMOTER","BORGO SAN DALMAZZO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"226,976.39 €","195,135.00 €"
"SORA'LAMA' TORINO","VAIE","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"20,855.00 €","10,427.50 €"
"SORDELLO MAURO","TORINO","I-3-2"," ADOZIONE TIC",2010,"45,900.00 €","  "
"SOREMARTEC ITALIA S.R.L.","ALBA","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"117,025.70 €","  "
"SORIN BIOMEDICA CARDIO S.R.L.","MILANO","I-1-1","BIOTECNOLOGIE",2009,"548,761.89 €","  "
"SOTRAL","BARGE","I-3-2"," ADOZIONE TIC",2010,"116,130.00 €","  "
"SPACE 2000","TORINO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"135,492.69 €","134,644.15 €"
"SPADETTO","COLLEGNO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"290,352.48 €","  "
"SPAGNOLO","VILLASTELLONE","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"50,357.24 €","25,178.62 €"
"S.P.A.I.C.","TORINO","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"56,800.00 €","11,308.88 €"
"S.P.A.I.C.","TORINO","I-Ri7-a","LR34-04  AEREOSPAZIO",2008,"187,160.00 €","20,400.44 €"
"SPALLINIFICIO MIRAFIORI DI CAUSIN E REVIGLIO","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"20,000.00 €","  "
"SPEA","VOLPIANO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"606,503.60 €","303,251.80 €"
"SPESSO GASKETS S.R.L.","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"17,183.70 €","  "
"SPESSO GASKETS S.R.L.","TORINO","I-Ri7-a","LR34-04 -  AEREOSPAZIO",2008,"42,840.00 €","  "
"SPI CREATIVITA'  DI GALLINO T. E STOCCO G.","CHIERI","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"20,470.77 €","10,235.38 €"
"S.P.I. DI L. PEGOLO E C SAS","ORBASSANO","I-Ri7-a","LR34-04  AEREOSPAZIO",2008,"21,700.00 €","  "
"S.P.I. DI L. PEGOLO E C SAS","ORBASSANO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"16,283.00 €","  "
"SQUILLARI & C.","ALPIGNANO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"53,481.87 €","52,739.49 €"
"S.R.S. ENGINEERING DESIGN S.R.L.","ROMA","I-Ri7-a","LR34-04  AEREOSPAZIO",2008,"119,997.50 €","  "
"SRT ITALIA","RODDI","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"51,833.94 €","25,916.97 €"
"S.R.V. VERNICIATURA INDUSTRIALE S.R.L.","OSASIO","I-Ri3-c","LR34-04 -- TECNOLOGIE",2008,"20,131.25 €","  "
"SSB PROGETTI","TORINO","I-3-1"," ICT",2009,"181,850.00 €","  "
"ST ENGINEERING","ALPIGNANO","I-3-2"," ADOZIONE TIC",2010,"42,446.00 €","  "
"STAC PLASTIC SPRAY","SETTIMO TORINESE","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"342,133.33 €","333,474.99 €"
"STAMET","FELETTO","I-Ri3-a","LR34-04  INNOVAZIONI",2008,"91,005.00 €","91,005.00 €"
"STAMPERIA ALICESE","CAVAGLIA'","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"708,741.47 €","675,438.75 €"
"STAMPI DI CONTE IVANO E C.","SAVIGLIANO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"151,615.80 €","131,471.00 €"
"STAT TURISMO","CASALE MONFERRATO","I-3-2"," ADOZIONE TIC",2010,"125,000.00 €","  "
"STATIVA","TORINO","I-3-1"," ICT",2009,"200,000.00 €","  "
"STATUS SRL","CHIERI","I-Ri3-a","LR34-04  INNOVAZIONI",2008,"2,595.58 €","1,297.79 €"
"STELAR SRL","MEDE","I-1-1","BIOTECNOLOGIE",2009,"175,371.00 €","  "
"STEP RICERCHE","TORINO","I-3-2","ADOZIONE TIC",2010,"77,473.50 €","  "
"S.T.I. STUDIO TECNICO ITALIANO","TORINO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"4,225.00 €","  "
"STILEMA","TORINO","I-3-2","ADOZIONE TIC",2010,"27,903.75 €","  "
"S.T.L.","TORINO","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"37,013.26 €","18,506.63 €"
"STOPOVER VIAGGI E TURISMO DI COSER ANTONELLA E MACCGNAN SABRINA","NOVARA","I-3-2","ADOZIONE TIC",2010,"26,250.00 €","  "
"S.T.R. SOCIETA' TRATTAMENTO RIFIUTI","ALBA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"1,000,000.00 €","  "
"STRUTTURA SPECIALE CONTROLLO DI GESTIONE","TORINO","IV-1-3","ASS. TEC. - CONTROLLI E PROCESSI DI AUDIT (STRUTTURA SPECIALE CONTROLLO DI GESTIONE)",2008,"197,210.00 €","  "
"STRUTTURA SPECIALE SB1","TORINO","IV-1-1","ASS. TEC. -  ASSISTENZA (STRUTTURA SPECIALE SB1)",2009,"10,303.00 €","  "
"STUDIO ARCLAB","BEINASCO","I-3-2","ADOZIONE TIC",2010,"47,500.00 €","  "
"STUDIO PROGETTO AMBIENTE","TORINO","I-3-2"," ADOZIONE TIC",2010,"87,985.57 €","  "
"STUDIO SCARRONE SAS","TORINO","I-Ri3-c","LR34-04 -- TECNOLOGIE",2008,"20,585.00 €","  "
"STUDIO TECNICO PALEOLOGO","MILANO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"75,296.80 €","  "
"STUDIO 8 DI MIOTTO M. E MIOTTO F.","BIELLA","I-3-2","ADOZIONE TIC",2010,"56,080.00 €","  "
"S.T.V. ITALIA","VENARIA","I-3-2"," ADOZIONE TIC",2010,"26,417.00 €","  "
"STYLTEX DI VERCELLOTTI & C.","GAGLIANICO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"49,418.87 €","24,709.43 €"
"SUCCESSORI REDA","VALLE MOSSO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"863,769.98 €","856,916.13 €"
"SUPERNOVA EDIZIONI DI PETRUZZO ANTONIO","COLLEGNO","I-Ri3-c","LR34-04 -- TECNOLOGIE",2008,"21,260.00 €","  "
"SV SOFTWARE","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"21,573.50 €","  "
"SYNAREA CONSULTANTS","TORINO","I-3-1"," ICT",2010,"360,264.00 €","  "
"SYNAREA CONSULTANTS","TORINO","I-Ri7-a","LR34-04 AEREOSPAZIO",2008,"229,827.00 €","27,165.55 €"
"SYNAREA CONSULTANTS","TORINO","I-Ri7-a","LR34-04 -  AEREOSPAZIO",2008,"360,000.00 €","210,000.00 €"
