Koodi,Rahasto,Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,P‰‰ttymispvm,Toteuttajan nimi,Myˆnnetty EU-rahoitus,Toteutunut EU-rahoitus,Myˆnnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteens‰,Toteutunut julkinen rahoitus yhteens‰
A537036,EAKR,Laajennushanke,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamheten har upphˆrt,1.12.2007,31.3.2008,GRITECH OY,36 540,36 540,23 460,23 460,60 000,60 000
A537052,EAKR,Metria mittausteknologian kansallisen innovaatioverkoston valmisteluhanke,÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,1.1.2008,31.3.2009,KAJAANIN TEKNOLOGIAKESKUS OY,103 840,0,72 160,0,176 000,0
A537053,EAKR,"ATJ-palvelut, ajoneuvoliikenteen ja anturiratkaisupalvelujen saatavuuden kehitt‰minen",÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,1.1.2008,28.2.2009,KAJAANIN TEKNOLOGIAKESKUS OY,50 348,50 348,34 988,34 988,85 336,85 336
A537063,EAKR,Cable wakeboard-keskus l. vesihiihtokeskus.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,5.9.2007,31.12.2008,HIIHTOKESKUS UKKOHALLA OY,110 230,90 437,70 770,58 063,181 000,148 500
A537071,EAKR,Yl‰-Savon seudulliset yrityspalvelut,÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,23.11.2007,31.12.2010,YLƒ-SAVON KEHITYS OY,111 600,40 374,0,0,186 000,67 294
A537075,EAKR,Kuopion seudun seudulliset yrityspalvelut,÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,23.11.2007,31.12.2010,KUOPIONSEUDUN UUSYRITYSKESKUS RY,308 670,150 752,0,0,385 840,166 580
A537078,EAKR,"Investoinnit, osaamisen ja teknologian kehitt‰minen.",÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,23.11.2007,31.12.2009,SUOMI-SOFFA TEHDAS OY,127 281,22 239,81 719,21 798,209 000,44 037
A537080,EAKR,Teollisuuselektroniikan mini-klusteri,÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,23.11.2007,31.12.2009,SAVONLINNAN SEUDUN KUNTAYHTYMƒ,50 232,6 683,27 768,3 695,78 000,10 378
A537084,EAKR,toiminnan k‰ynnist‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,26.11.2007,30.6.2010,MYONTEC OY,48 701,38 350,32 999,25 147,81 700,63 497
A537090,EAKR,Tuotantokoneinvestointi.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamheten har upphˆrt,26.11.2007,30.11.2008,ELEKTROMILL OY,40 784,40 784,39 976,39 976,80 760,80 760
A537102,EAKR,Kajaanin yksikˆn toiminnan k‰ynnist‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,18.2.2008,17.2.2010,NETBARON SOLUTIONS OY,30 351,7 402,29 749,7 255,60 100,14 657
A537103,EAKR,Rakennusinvestointi.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,28.11.2007,31.12.2009,SAVON TALO JA KALUSTO OY,11 693,6 228,7 507,3 999,19 200,10 227
A537111,EAKR,"InnoPro II, Etel‰-Savon innovaatioprosessien kehitt‰minen.",÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,27.11.2007,28.2.2010,MIKTECH OY,110 536,81 001,61 104,44 776,171 640,125 777
A537112,EAKR,Raaka-aineiden saatavuusselvitys,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,29.11.2007,30.10.2009,PIEKSƒMƒEN RAKENNUSPUU OY,5 681,3 147,4 629,2 564,10 310,5 711
A537119,EAKR,Eko-Onni-ohjelmiston jatkokehitys,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,29.11.2007,31.7.2009,ONNI SYSTEMS,36 153,0,35 437,0,71 590,0
A537120,EAKR,Suunnittelutstotoiminnan k‰ynnist‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamheten har upphˆrt,29.11.2007,31.12.2008,PLANTEC OY,20 182,10 249,12 958,6 580,33 140,16 829
A537121,EAKR,Laajentuminen kansainv‰lisi‰ verkostoja luomalla,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,1.1.2008,30.6.2010,OY FENNOPHARMA LTD,43 970,6 312,28 230,4 052,72 200,10 364
A537122,EAKR,Impedanssitomografian kaupallistaminen - yrityksen perustaminen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,1.1.2008,31.12.2009,NUMCORE OY,45 187,44 638,29 013,28 661,74 200,73 299
