"Project name","Projektägare","Region","Beviljat ESF-stöd","Total projektbudget","Projektperiod","Currency"
"HSB Dalarna","HSB Dalarna arbetsställe Borlänge,Falun,Ludvika,Avesta,Leksand,Rättvik","Norra Mellansverige",300000,300000,"2008-05-15 till 2009-01-31","SEK"
"HSB Dalarna","HSB Dalarna arbetsställe Borlänge,Falun,Ludvika,Avesta,Leksand,Rättvik","Norra Mellansverige",750000,750000,"2009-08-01 till 2011-01-31","SEK"
"Insteget","Falu Kommun","Norra Mellansverige",6716842,17816842,"2009-02-02 till 2011-05-31","SEK"
"Invandrarkonsultbyrån förprojektering","none listed","Norra Mellansverige",224500,300760,"2009-10-01 till 2010-03-31","SEK"
"JAKT PÅ Kunskap","JAKTIA AB","Norra Mellansverige",270300,270300,"2008-11-03 till 2009-02-27","SEK"
"Job College","Communicare HK","Norra Mellansverige",10561140,27514140,"2009-02-01 till 2011-12-31","SEK"
"Karriärväg Bygg","Byggutbildning Star","Norra Mellansverige",238600,238600,"2009-08-01 till 2009-12-31","SEK"
"KNUFF 4","The Paperprovince","Norra Mellansverige",274356,274356,"2009-05-18 till 2009-10-30","SEK"
"Komhall Plus","kommunkansliet","Norra Mellansverige",5194646,13980454,"2009-08-03 till 2012-06-29","SEK"
"Kompetens för framtiden","Kompi Assistent EF","Norra Mellansverige",299892,299892,"2009-08-01 till 2010-01-31","SEK"
"Kompetens påfyllning Torsby","Tuab","Norra Mellansverige",1246030,1246030,"2009-08-07 till 2010-12-31","SEK"
"Kompetensanalys Rättvik","Rättviks kyrkliga samfällighet","Norra Mellansverige",108250,108250,"2009-08-01 till 2010-01-31","SEK"
"Kompetensarenan 1","Folkuniversitetet Dalarna","Norra Mellansverige",298401,298401,"2009-02-01 till 2009-07-31","SEK"
"Kompetensbarometern","Sandvikens kommun Arbetsmarknadscentrum, Tillväxtförvaltningen","Norra Mellansverige",300000,300000,"2008-11-01 till 2009-04-30","SEK"
"Kompetensbarometern 2, Genomförande","Äldreomsorgsförvaltningen","Norra Mellansverige",1143916,1143916,"2010-01-01 till 2011-06-30","SEK"
"Kompetensinvent Värmland, Dalarna och Sörmland","none listed","Norra Mellansverige",264729,264729,"2009-05-25 till 2009-11-24","SEK"
"Kompetensinventering SME-företag HK","Näringslivsenheten","Norra Mellansverige",116542,116542,"2009-02-09 till 2009-04-09","SEK"
"Kompetenskraft i samverkan","STADSHUSET Säffle kommun","Norra Mellansverige",221990,221990,"2008-05-01 till 2008-09-30","SEK"
"Kompetenskraft i samverkan","STADSHUSET Säffle kommun","Norra Mellansverige",4203363,4203363,"2009-02-01 till 2010-07-30","SEK"
"Kompetenslyft Outokumpu","Autokompo Stainless","Norra Mellansverige",298411,298411,"2009-05-07 till 2009-08-14","SEK"
"Kompetenslyftet","Omsorgsförvaltningen, central administration","Norra Mellansverige",296261,296261,"2009-02-01 till 2009-06-14","SEK"
"Kompetenslyftet för läkarsekreterare","Landstingets kansli","Norra Mellansverige",3423800,3423800,"2010-03-01 till 2011-07-31","SEK"
"Kompetenslyftet i Årjäng","Elektromekan i Årjäng AB","Norra Mellansverige",1486805,1486805,"2008-08-15 till 2009-12-31","SEK"
"Kompetenslyftet","Omsorgsförvaltningen, central administration","Norra Mellansverige",2450000,2450000,"2010-02-01 till 2011-07-31","SEK"
"Kompetens.NU - 1","Näringslivsavdelningen","Norra Mellansverige",298321,298321,"2009-08-01 till 2009-11-30","SEK"
"Kompetens.NU - 2","Näringslivsavdelningen","Norra Mellansverige",298321,298321,"2009-08-01 till 2009-11-30","SEK"
"Kompetens.NU - 3","Näringslivsavdelningen","Norra Mellansverige",298321,298321,"2009-08-01 till 2009-11-30","SEK"
"Kompetens.NU - 4","Näringslivsavdelningen","Norra Mellansverige",528732,528732,"2010-01-20 till 2010-05-17","SEK"
"Kompetensstegen i NM för Life","Life","Norra Mellansverige",115300,115300,"2009-02-02 till 2009-07-31","SEK"
"Kompetensstegen i Norra Mellansverige","Hälsokost i Säffle AB","Norra Mellansverige",150122,150122,"2008-05-14 till 2008-10-14","SEK"
"Kompetenstouren 1","Handelskammaren Värmland Service AB","Norra Mellansverige",235000,235000,"2008-08-01 till 2009-01-31","SEK"
"Kompetenstouren 2","Handelskammaren Värmland Service AB","Norra Mellansverige",235085,235085,"2008-08-01 till 2009-01-31","SEK"
"Kompetenstouren 3","Handelskammaren Värmland Service AB","Norra Mellansverige",289818,289818,"2009-05-04 till 2009-11-04","SEK"
"Kompetenstouren 4","Handelskammaren Värmland Service AB","Norra Mellansverige",1443562,1443562,"2009-08-03 till 2010-11-30","SEK"
"Kompetenstouren 5","Handelskammaren Värmland Service AB","Norra Mellansverige",282633,282633,"2009-08-03 till 2010-01-31","SEK"
"Kompetensutveckling Älvdalen Försäljning","Älvdalens kommun","Norra Mellansverige",264915,264915,"2009-02-09 till 2009-05-11","SEK"
"Kompetensutveckling Älvdalen, Produktion","Älvdalens kommun","Norra Mellansverige",224865,224865,"2009-02-09 till 2009-05-11","SEK"
"Kompetensutveckling Älvdalen Tjänsteföretag","Älvdalens kommun","Norra Mellansverige",115831,115831,"2009-02-09 till 2009-05-11","SEK"
"Kompetensutveckling för Avesta Industrigrupp m fl","none listed","Norra Mellansverige",158500,158500,"2009-02-09 till 2009-04-09","SEK"
"Kompetensutveckling för sysselsatta i företag som genomgår strukturomvandling","Centrum för Utveckling och Lärande, CUL, inkl HRC","Norra Mellansverige",300000,300000,"2009-06-22 till 2009-11-25","SEK"
"Kompetensutveckling för sysselsatta inom energinäringen","Gävle Energi AB","Norra Mellansverige",0,0,"2008-05-01 till 2008-10-31","SEK"
"Kompetensutveckling för sysselsatta inom energinäringen-genomförande","Gävle Energi AB","Norra Mellansverige",4973620,4973620,"2009-08-01 till 2011-01-31","SEK"
"Kompetensutveckling för varslade i Norrhälsingland","Centrum för Utveckling och Lärande, CUL, inkl HRC","Norra Mellansverige",278790,278790,"2009-02-09 till 2009-04-09","SEK"
"Kompetensutveckling företag kommunövergripande","Rättviks Gymnasium/Lärcentrum","Norra Mellansverige",737439,737439,"2009-07-01 till 2010-12-31","SEK"
"Kompetensutveckling Försäljning","Älvdalens kommun","Norra Mellansverige",2123994,2123994,"2010-02-01 till 2011-07-29","SEK"
"Kompetensutveckling i Gagnef och Leksand","Gagnefs Kommun, Utvecklingscentrum","Norra Mellansverige",236764,236764,"2009-08-01 till 2009-12-31","SEK"
"Kompetensutveckling i Orsa för tillväxt och välfärd","Orsa kommun","Norra Mellansverige",273305,273305,"2009-02-02 till 2009-07-31","SEK"
"Kompetensutveckling Produktion","Älvdalens Gymnasieskola Vux","Norra Mellansverige",1823524,1823524,"2010-02-01 till 2011-07-29","SEK"
"Kompetensutveckling Rättviksföretag 2 genomförande","Rättviks Gymnasium/Lärcentrum","Norra Mellansverige",940670,940670,"2009-07-01 till 2010-12-31","SEK"
"Kompetensutveckling Rättviksföretag genomförande","Rättviks Gymnasium/Lärcentrum","Norra Mellansverige",832679,832679,"2009-02-02 till 2010-08-02","SEK"
"Kompetensutveckling Skönhet-Hälsa 2","Hedemora Näringsliv AB","Norra Mellansverige",389972,389972,"2009-06-01 till 2010-11-30","SEK"
"Kompetensutveckling som en del av regional utveckling","Kristinehamns Folkhögskola, KPS","Norra Mellansverige",223533,223533,"2009-08-10 till 2009-12-11","SEK"
"Kompetensutveckling Tjänster","Älvdalens Gymnasieskola Vux","Norra Mellansverige",913612,913612,"2010-02-01 till 2011-07-29","SEK"
"Kompetensutveckling varseldrabbade i Gävleborg","Region Gävleborg","Norra Mellansverige",21368343,21368343,"2009-06-12 till 2010-06-20","SEK"
"Kompetensutveckling VKGF","Värmlands Kreditgarantiförenin","Norra Mellansverige",299984,299984,"2009-05-18 till 2009-11-11","SEK"
"Kompetensutvecklingsanalys av företag i Nätverk Hydraulik","Näringslivsenheten","Norra Mellansverige",287600,287600,"2009-05-18 till 2009-11-17","SEK"
"Kompetensutvecklingsanalys för Nätverk Tunnplåt","Näringslivsenheten","Norra Mellansverige",279085,279085,"2009-02-01 till 2009-07-31","SEK"
"Kompetensutvecklingsområde barns utveckling genom rörelselek","Lekstugans Förskola, ekonomisk förening i Arbrå","Norra Mellansverige",68800,68800,"2008-08-15 till 2008-12-15","SEK"
"Kompetensutvecling för SLAO-företag i Norra Mellansverige - förprojektering","SLAO - Svenska Liftanläggningars organisation","Norra Mellansverige",300000,300000,"2009-02-02 till 2009-07-31","SEK"
"Konkurrenskraft i småföretag","Näringslivssamverkan","Norra Mellansverige",284242,284242,"2009-09-01 till 2010-02-26","SEK"
"Kraftstation","Klarälvdalens Samordningsförbund","Norra Mellansverige",12420000,43686000,"2009-07-01 till 2012-06-30","SEK"
"Kulturarvet - en väg till socialt företagande","Falu Kommun","Norra Mellansverige",8874276,22200356,"2009-06-01 till 2012-05-30","SEK"
"Kunskap för framtid","Förv Lärande och arbete","Norra Mellansverige",290630,290630,"2009-02-16 till 2009-04-22","SEK"
"Kupolen","FAB Borlänge Köpcentrum","Norra Mellansverige",297267,297267,"2008-05-01 till 2008-08-15","SEK"
"Lärande i Ring","Komvux","Norra Mellansverige",3942658,3942658,"2009-09-01 till 2011-02-28","SEK"
"Laserpilen","GLT Laserstans","Norra Mellansverige",183140,183140,"2009-06-04 till 2009-10-30","SEK"
"Lean-utbildning av förändringsgruppen","Förändringsgruppen","Norra Mellansverige",201325,201325,"2008-10-01 till 2009-02-28","SEK"
"Leksands Handel i utveckling","Leksand Företagscentrum","Norra Mellansverige",199918,199918,"2009-02-02 till 2009-07-31","SEK"
"LEKU - Lemont Kompetensutvecklingsprojekt","Lemont AB","Norra Mellansverige",267997,267997,"2008-05-05 till 2008-08-31","SEK"
"LEKU 2","Lemont AB","Norra Mellansverige",651000,651000,"2009-02-02 till 2010-04-30","SEK"
"Livskompetens","ABF Gästrikebygden","Norra Mellansverige",2958750,7419780,"2008-08-01 till 2009-11-30","SEK"
"Livskunskap -  en del av arbetsmiljön","ABF Södra-Östra Dalarna","Norra Mellansverige",248571,248571,"2009-02-02 till 2009-07-31","SEK"
"Ljusdalshem PO1 Fs","None Listed","Norra Mellansverige",298800,298800,"2009-08-15 till 2009-12-31","SEK"
"Lokala taxibolag i omvandling","GÄVLE TAXI 129000 AB","Norra Mellansverige",0,300000,"2008-08-01 till 2008-12-01","SEK"
"Lokala taxibolag i utveckling","GÄVLE TAXI 129000 AB","Norra Mellansverige",1802002,1802002,"2009-08-01 till 2011-01-31","SEK"
"LONYX","Loxodonta AB","Norra Mellansverige",103700,103700,"2008-08-01 till 2008-09-30","SEK"
"Lonyx","Loxodonta AB","Norra Mellansverige",1511900,1511900,"2009-03-02 till 2010-08-31","SEK"
"LOTS Ockelbo","Utvecklingsenheten","Norra Mellansverige",7451139,18863139,"2009-02-01 till 2011-12-30","SEK"
"Mångfald & Rekrytering","Kommunledningskontoret","Norra Mellansverige",776798,776798,"2009-06-01 till 2009-12-31","SEK"
"Mångfald i näringslivet, MIN","Filipstads kommun KOMMUNKANSLIET","Norra Mellansverige",130900,130900,"2010-01-15 till 2010-06-30","SEK"
"Mervärde","Bäckebro korttidshem","Norra Mellansverige",78500,78500,"2009-06-15 till 2009-11-06","SEK"
"Mitt i City - nytänkande i centrum","Mitt i City Karlstad FAB","Norra Mellansverige",287000,287000,"2008-05-01 till 2008-07-15","SEK"
"Moelven Industrier AB Socialfonden, Norra Mellansverige","Moelven Industrier AB","Norra Mellansverige",297824,297824,"2009-02-02 till 2009-07-17","SEK"
"Möta nya utmaningar i samarbete","Sjöviks folkhögskola","Norra Mellansverige",300000,300000,"2008-08-01 till 2009-01-31","SEK"
"Möta nya utmaningar i samarbete","Sjöviks folkhögskola","Norra Mellansverige",925000,925000,"2009-08-01 till 2011-01-31","SEK"
"Motivationshöjaren","Bollnäs Folklhögskola","Norra Mellansverige",6488139,16220372,"2009-06-01 till 2011-12-31","SEK"
"Musik i Dalarna i samverkan för kompetensutveckling","Musik i Dalarna","Norra Mellansverige",300000,300000,"2008-08-01 till 2009-01-31","SEK"
"Nätverk och kompetensförsörjning","Dem Network AB","Norra Mellansverige",105975,105975,"2008-09-01 till 2009-02-28","SEK"
"Nätverk och kompetensförsörjning genomförande","Dem Network AB","Norra Mellansverige",263506,263506,"2009-07-15 till 2010-09-30","SEK"
"Nybygget 1","None Listed","Norra Mellansverige",254392,254392,"2008-08-01 till 2009-01-31","SEK"
"Nybygget 2","DRIVEX MEKANISKA AB","Norra Mellansverige",244380,244380,"2008-08-01 till 2009-01-31","SEK"
"Nytt val nya möjligheter 2","Arbetsförmedlingen I Arvika","Norra Mellansverige",88443,121425,"2010-01-04 till 2010-05-31","SEK"
"Odla din hälsa","Växhuset","Norra Mellansverige",300000,456751,"2008-04-15 till 2008-11-14","SEK"
"Ökad kunskap för bättre omvårdnad","Vård och gruppbostäder","Norra Mellansverige",208032,208032,"2008-11-03 till 2009-05-01","SEK"
"Ökade möjligheter för funktionshindrade","Västerbergslagens Utbildningscentrum, VBU","Norra Mellansverige",190875,254500,"2008-05-15 till 2008-11-15","SEK"
"Omsorgen","Munkfors kommunkontor","Norra Mellansverige",116170,116170,"2009-08-03 till 2009-12-18","SEK"
"Optimal Samverkan Utbildning - Näringsliv","Kommunledningskontoret Hedemora kommun","Norra Mellansverige",273000,273000,"2008-04-01 till 2008-10-30","SEK"
"P U B, Praktisk Utredning och Bedömning","Bollnäs kommun Arbetsmarknadskontoret Lärande och Arbete","Norra Mellansverige",153807,205777,"2008-05-01 till 2008-08-31","SEK"
"Pentaplusbiblioteken","Karlstads universitet","Norra Mellansverige",183697,183697,"2008-09-01 till 2008-12-31","SEK"
"Pentaplusbiblioteken, genomförande","Karlstads universitet","Norra Mellansverige",1616202,1616202,"2009-07-01 till 2010-12-31","SEK"
"Plattformen","LSS enheten","Norra Mellansverige",78748,78748,"2008-09-01 till 2009-01-31","SEK"
"Pöyry Forest Industry AB, Norra Mellansverige","Pöyry Sweden AB","Norra Mellansverige",252558,252558,"2009-02-02 till 2009-06-30","SEK"
"PUB Praktisk Utredning och Bedömning - Genomförande","Komvux","Norra Mellansverige",3971820,10305637,"2009-03-01 till 2012-02-28","SEK"
"Rätt kompetens","None Listed","Norra Mellansverige",135030,135030,"2009-08-03 till 2009-10-22","SEK"
"Rehabiliteringsstöd i utveckling","Ludvika kommun Social- och utbildningsförvaltningen","Norra Mellansverige",282400,484750,"2008-09-01 till 2009-02-28","SEK"
"Rejlers Regionala Socialfondsprojekt, Norra Mellansverige","Rejlers Ingenjörer AB","Norra Mellansverige",250503,250503,"2009-02-02 till 2009-07-17","SEK"
"Safir 19-29","Västerbergs Folkhögskola","Norra Mellansverige",299645,400270,"2009-04-01 till 2009-09-01","SEK"
"Samlingsprojekt I, Företagarna i Mora","None Listed","Norra Mellansverige",113325,113325,"2008-08-01 till 2009-01-31","SEK"
"Samlingsprojekt småföretagsutveckling i Avesta 2008-1","STIFTELSEN AVESTA NYFÖRETAGARCENTRUM","Norra Mellansverige",284000,284000,"2008-08-01 till 2009-01-31","SEK"
"Samverkan Avantia Norra Mellansverige","Avantia International Trading AB","Norra Mellansverige",80361,80361,"2008-08-01 till 2008-12-31","SEK"
"Samverkan i Storregionen för ökad företagsamhet","Ung Företagsamhet Gävleborg","Norra Mellansverige",101500,101500,"2008-05-01 till 2008-10-07","SEK"
"Samverkan Interjakt Norra Mellansverige","Interjakt Ekonomisk Förening","Norra Mellansverige",77204,77204,"2008-08-01 till 2008-12-31","SEK"
"SFUI","Västerbergs Folkhögskola","Norra Mellansverige",299645,400270,"2009-02-02 till 2009-06-17","SEK"
"Skogsentreprenad i förändring","None Listed","Norra Mellansverige",86000,86000,"2008-06-01 till 2008-08-31","SEK"
"Smartare samarbete, starkare framtid","Kommunkontor","Norra Mellansverige",2897200,2897200,"2009-06-08 till 2010-06-18","SEK"
"Socialt företagande - Kulturarvet i Falun","Falu Kommun","Norra Mellansverige",130200,180200,"2008-09-01 till 2008-12-31","SEK"
"Socialt företagande i Värmland","VÄRMLANDSKOOPERATIVEN EK. FÖR.","Norra Mellansverige",1666314,4966314,"2008-08-01 till 2011-07-31","SEK"
"Solo- och mikroföretagarkompetens i Gävleborg","Näringslivsavdelningen","Norra Mellansverige",9999962,9999962,"2010-01-12 till 2012-12-31","SEK"
"SOS- Projektet (Samverkan omkring sjukskrivna)","ALFTA REHAB CENTER PAIN HOSPICE AKTIEBOLAG","Norra Mellansverige",299243,416843,"2008-05-01 till 2008-11-01","SEK"
"Spetskompetens på underhåll och renovering av ytor","Bröderna Thunströms Måleri AB","Norra Mellansverige",660368,660368,"2008-09-01 till 2010-04-30","SEK"
"SPT:s Kompetensutvecklingsprojekt","Scandinavian Petroleum Technic (SPT) Association","Norra Mellansverige",127349,127349,"2008-05-01 till 2008-09-30","SEK"
"Stöd och omsorg i framtid","Sunne kommun KOMMUNKONTOR","Norra Mellansverige",276976,276976,"2009-02-02 till 2009-06-30","SEK"
"Strukturförändring inom återvinningsbranschen","Stiftelsen Håll Sverige Rent","Norra Mellansverige",297640,297640,"2008-09-15 till 2008-12-31","SEK"
"Svartjobbarna","Arbetslinjen Klippan ekonomisk förening","Norra Mellansverige",8316574,20878942,"2009-03-01 till 2012-02-29","SEK"
"SYV Värmland","Regionvärmland","Norra Mellansverige",236520,236520,"2009-06-01 till 2009-11-30","SEK"
"Team Sportia Kompetensutvecklingssatsning","Team Sportia AB","Norra Mellansverige",356715,356715,"2008-08-01 till 2010-01-31","SEK"
"Teamutveckling","Foreverbusiness i Mohed AB","Norra Mellansverige",63710,63710,"2008-09-29 till 2008-12-15","SEK"
"Tillväxt Gävle Hamn","Gävle Hamn AB","Norra Mellansverige",84000,84000,"2009-03-01 till 2009-08-31","SEK"
"Timglaset","Ungdomsenheten","Norra Mellansverige",203955,278955,"2009-02-01 till 2009-06-30","SEK"
"Tjänstemännens Kompetenscenter","TCO-Rådet i Värmland","Norra Mellansverige",194896,194896,"2009-02-16 till 2009-04-17","SEK"
"Torget","Karlstads-Hammarö Vuxenutbildning","Norra Mellansverige",89704,135191,"2009-07-01 till 2009-08-27","SEK"
"Trippel-T. Trygghet, Tydlighet och Trivsel","None Listed","Norra Mellansverige",745652,745652,"2009-02-01 till 2010-07-31","SEK"
"Turismföretag runt Runn","Falu kommun Näringslivskontoret","Norra Mellansverige",294300,294300,"2008-08-01 till 2009-01-31","SEK"
"Tvätteri i utveckling","BERENDSEN OCKELBO","Norra Mellansverige",206750,206750,"2009-02-02 till 2009-07-30","SEK"
"Tvätteri i utveckling steg 2","BERENDSEN OCKELBO","Norra Mellansverige",976814,976814,"2010-01-25 till 2011-07-24","SEK"
"""Underhåll medarbetare och organisation - UM""","MORGÅRDSHAMMARS VERKSTÄDER AB","Norra Mellansverige",299975,299975,"2008-08-01 till 2008-12-31","SEK"
"Ung tillgång","Centrum för Utveckling och Lärande, CUL, inkl HRC","Norra Mellansverige",259500,346000,"2010-02-01 till 2010-06-30","SEK"
"Unga som riskerar utanförskap","Arbetsförmedlingen AMO Torsby","Norra Mellansverige",207790,302036,"2009-05-01 till 2009-10-30","SEK"
"Unga till arbete","Arbetsförmedlingen Gävle Hk","Norra Mellansverige",16849340,46195705,"2009-09-01 till 2012-06-30","SEK"
"Ungdomar med psykiska funktionshinder (Tid. benämnd ungdomar med neuropsykiatriska funktionshinder)","Arbetsförmedlingen Gävle Hk","Norra Mellansverige",300000,402000,"2008-08-01 till 2008-12-31","SEK"
