BENEFICIARIO,TIPO DE OPERACIÓN,GASTO PUBLICO,
MANUFACTURAS ANDY SL,Mejorar a empleabilidad de las personas desempleadas,"956,61",,
"MANUFACTURAS ARMARIOS Y COMPONENTES,S.L.",Mejorar a empleabilidad de las personas desempleadas,"190,00",,
MANUFACTURAS ARQUITECTONICAS Y PROYECTOS INMOBILIARIOS,Mejorar a empleabilidad de las personas desempleadas,"950,00",,
MANUFACTURAS ARTISTICAS DEL CUERO S.L,Mejorar a empleabilidad de las personas desempleadas,"1.093,24",,
MANUFACTURAS BALMES VIVES SL,Mejorar a empleabilidad de las personas desempleadas,"964,39",,
MANUFACTURAS BRALAMP SL,Mejorar a empleabilidad de las personas desempleadas,"1.033,33",,
MANUFACTURAS BURGALESAS DEL VIDRIO SL,Mejorar a empleabilidad de las personas desempleadas,"2.889,43",,
MANUFACTURAS CAEM IBERICA SL,Mejorar a empleabilidad de las personas desempleadas,"840,00",,
MANUFACTURAS CAL RU SL,Mejorar a empleabilidad de las personas desempleadas,"666,70",,
"MANUFACTURAS CAMAR, SL",Mejorar a empleabilidad de las personas desempleadas,"714,08",,
MANUFACTURAS CANDI SL,Mejorar a empleabilidad de las personas desempleadas,"4.676,73",,
MANUFACTURAS CEPICAN S.L.L.,Mejorar a empleabilidad de las personas desempleadas,"1.757,56",,
MANUFACTURAS CHACON SANCHEZ SL,Mejorar a empleabilidad de las personas desempleadas,"2.531,10",,
MANUFACTURAS CIDES SL,Mejorar a empleabilidad de las personas desempleadas,"1.646,62",,
"MANUFACTURAS CONFORT,S.L.UNIPERSONAL.",Mejorar a empleabilidad de las personas desempleadas,"207,76",,
MANUFACTURAS CRUCE SA,Mejorar a empleabilidad de las personas desempleadas,"579,82",,
MANUFACTURAS DE DEPURACION Y SERVICIOS AMBIENTALES SL,Mejorar a empleabilidad de las personas desempleadas,"107,17",,
MANUFACTURAS DE FIELTROS INDUSTRIALES SA,Mejorar a empleabilidad de las personas desempleadas,"1.033,35",,
"MANUFACTURAS DE LA ETIQUETA, SL",Mejorar a empleabilidad de las personas desempleadas,"903,04",,
"MANUFACTURAS DEL ALAMBRE Y TUBO, SL",Mejorar a empleabilidad de las personas desempleadas,"933,38",,
MANUFACTURAS DEL ALUMINIO DORESPAL S.L.,Mejorar a empleabilidad de las personas desempleadas,"150,00",,
MANUFACTURAS DEL ALUMINIO PAMPLONA SECTOR AUTOMOCI,Mejorar a empleabilidad de las personas desempleadas,"1.796,57",,
MANUFACTURAS DEL CALZADO GALDE SL,Mejorar a empleabilidad de las personas desempleadas,"12.739,14",,
"MANUFACTURAS DEL CALZADO KIBO,S.L.",Mejorar a empleabilidad de las personas desempleadas,"896,57",,
"MANUFACTURAS DEL CARAMELO, SCL",Mejorar a empleabilidad de las personas desempleadas,"1.900,00",,
"MANUFACTURAS DEL CAZADO ZITA,S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.383,33",,
MANUFACTURAS DEL CUERO DE SALINAS SLU,Mejorar a empleabilidad de las personas desempleadas,"2.202,93",,
"MANUFACTURAS DEL CUERO EL ESTRIBO, S.L.L.",Mejorar a empleabilidad de las personas desempleadas,"2.762,37",,
"MANUFACTURAS DEL MEDITERRANEO, S.L",Mejorar a empleabilidad de las personas desempleadas,"25,00",,
MANUFACTURAS DEL MUEBLE MODULAR SL,Mejorar a empleabilidad de las personas desempleadas,"673,28",,
MANUFACTURAS EL SON SL,Mejorar a empleabilidad de las personas desempleadas,"2.384,20",,
"MANUFACTURAS ELECTRICAS Y CABLEADOS MEC, SL",Mejorar a empleabilidad de las personas desempleadas,"1.900,00",,
MANUFACTURAS ELECTRICAS Y MANTENIMIENTO SL,Mejorar a empleabilidad de las personas desempleadas,"1.345,77",,
"MANUFACTURAS EMABI, SA",Mejorar a empleabilidad de las personas desempleadas,"1.390,00",,
"MANUFACTURAS EN PIEDRA ANJOMAR, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.222,28",,
MANUFACTURAS ENCAR SL,Mejorar a empleabilidad de las personas desempleadas,"933,00",,
MANUFACTURAS FERRICAS SL,Mejorar a empleabilidad de las personas desempleadas,"117,50",,
MANUFACTURAS GARCHATEX SL,Mejorar a empleabilidad de las personas desempleadas,"3.776,39",,
"MANUFACTURAS GNMEZ, SL",Mejorar a empleabilidad de las personas desempleadas,"1.366,60",,
"MANUFACTURAS GOMA, SL",Mejorar a empleabilidad de las personas desempleadas,"891,16",,
MANUFACTURAS GREHOGAR SL,Mejorar a empleabilidad de las personas desempleadas,"1.200,06",,
MANUFACTURAS HEMA SA,Mejorar a empleabilidad de las personas desempleadas,"315,45",,
MANUFACTURAS HERGAS SL,Mejorar a empleabilidad de las personas desempleadas,"4.349,13",,
MANUFACTURAS INDUSTRIAL AZULEJERA SL,Mejorar a empleabilidad de las personas desempleadas,"3.143,40",,
MANUFACTURAS INDUSTRIALES MENORQUINAS SL,Mejorar a empleabilidad de las personas desempleadas,"1.690,00",,
"MANUFACTURAS INVEN, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.688,81",,
"MANUFACTURAS JICA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.763,27",,
"MANUFACTURAS JUARGIS, SL",Mejorar a empleabilidad de las personas desempleadas,"600,03",,
MANUFACTURAS JUEMI SL,Mejorar a empleabilidad de las personas desempleadas,"3.319,68",,
"MANUFACTURAS KURVAY, SL",Mejorar a empleabilidad de las personas desempleadas,"1.900,00",,
"MANUFACTURAS L Y A, SL",Mejorar a empleabilidad de las personas desempleadas,"1.899,70",,
MANUFACTURAS LOPEZ SL,Mejorar a empleabilidad de las personas desempleadas,"1.686,67",,
"MANUFACTURAS MAR,S.L.UNIPERSONAL",Mejorar a empleabilidad de las personas desempleadas,"2.720,65",,
"MANUFACTURAS MARAS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"5.266,63",,
"MANUFACTURAS MENCAL B.C.N., SL",Mejorar a empleabilidad de las personas desempleadas,"646,62",,
MANUFACTURAS METALICAS CANALS SA,Mejorar a empleabilidad de las personas desempleadas,"100,00",,
MANUFACTURAS METALICAS CRUZ SL,Mejorar a empleabilidad de las personas desempleadas,"2.520,14",,
MANUFACTURAS METALICAS MAFER SL,Mejorar a empleabilidad de las personas desempleadas,"1.899,70",,
"MANUFACTURAS METALURGICAS RSL, SL",Mejorar a empleabilidad de las personas desempleadas,"1.266,73",,
MANUFACTURAS MIRANDA SL,Mejorar a empleabilidad de las personas desempleadas,"1.223,31",,
MANUFACTURAS MONET 59 S.L.,Mejorar a empleabilidad de las personas desempleadas,"616,20",,
"MANUFACTURAS MONTISERV, SL",Mejorar a empleabilidad de las personas desempleadas,"1.138,78",,
"MANUFACTURAS MOVILLA ALVAREZ, S.L.",Mejorar a empleabilidad de las personas desempleadas,"265,60",,
"MANUFACTURAS NICOLAS,S.L",Mejorar a empleabilidad de las personas desempleadas,"224,36",,
MANUFACTURAS NISA SL,Mejorar a empleabilidad de las personas desempleadas,"1.583,25",,
MANUFACTURAS NOGALEJAS SL,Mejorar a empleabilidad de las personas desempleadas,"2.075,81",,
MANUFACTURAS NUNEZ SL,Mejorar a empleabilidad de las personas desempleadas,"559,94",,
MANUFACTURAS OMAR SL,Mejorar a empleabilidad de las personas desempleadas,"1.250,63",,
MANUFACTURAS OPTICAS NOMAR SL,Mejorar a empleabilidad de las personas desempleadas,"1.900,00",,
MANUFACTURAS PALS SA,Mejorar a empleabilidad de las personas desempleadas,"1.770,61",,
MANUFACTURAS PANADERAS SL,Mejorar a empleabilidad de las personas desempleadas,"1.859,64",,
"MANUFACTURAS PASTORET, S.L. UNIPERSONAL",Mejorar a empleabilidad de las personas desempleadas,"5.643,13",,
MANUFACTURAS PLASTGAR SL,Mejorar a empleabilidad de las personas desempleadas,"799,78",,
MANUFACTURAS PLASTICAS MAY SA,Mejorar a empleabilidad de las personas desempleadas,"691,12",,
"MANUFACTURAS PLASTICAS ORTEGA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.898,71",,
MANUFACTURAS PRODUCTOS METALICOS SL,Mejorar a empleabilidad de las personas desempleadas,"28,86",,
MANUFACTURAS RECICLAUTO SL,Mejorar a empleabilidad de las personas desempleadas,"1.573,70",,
MANUFACTURAS REDONDO BROTO SL,Mejorar a empleabilidad de las personas desempleadas,"880,03",,
MANUFACTURAS RICARDO SL,Mejorar a empleabilidad de las personas desempleadas,"233,30",,
MANUFACTURAS ROTGER SL,Mejorar a empleabilidad de las personas desempleadas,"3.236,33",,
MANUFACTURAS SANRU SL,Mejorar a empleabilidad de las personas desempleadas,"391,44",,
"MANUFACTURAS SAYCARS, SL",Mejorar a empleabilidad de las personas desempleadas,"4.157,14",,
MANUFACTURAS SEHER SL,Mejorar a empleabilidad de las personas desempleadas,"5.612,15",,
MANUFACTURAS SERVIPLAST SA,Mejorar a empleabilidad de las personas desempleadas,"3.735,11",,
MANUFACTURAS SHAMROCK S.L.,Mejorar a empleabilidad de las personas desempleadas,"5.234,50",,
"MANUFACTURAS SIDERURGICAS DEL DUERO, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.724,18",,
MANUFACTURAS TARRIDA SA,Mejorar a empleabilidad de las personas desempleadas,"1.800,00",,
MANUFACTURAS TAVART SA,Mejorar a empleabilidad de las personas desempleadas,"514,66",,
MANUFACTURAS TECCA SL,Mejorar a empleabilidad de las personas desempleadas,"793,24",,
"MANUFACTURAS TECNICAS DEL POLIESTER, SL UNIPERSONAL",Mejorar a empleabilidad de las personas desempleadas,"419,88",,
MANUFACTURAS TELENO SL,Mejorar a empleabilidad de las personas desempleadas,"759,19",,
MANUFACTURAS TER SL,Mejorar a empleabilidad de las personas desempleadas,"1.679,92",,
MANUFACTURAS TEXCOCO SL,Mejorar a empleabilidad de las personas desempleadas,"1.915,05",,
MANUFACTURAS TOMAS SA,Mejorar a empleabilidad de las personas desempleadas,"823,97",,
MANUFACTURAS TROYA SL,Mejorar a empleabilidad de las personas desempleadas,"1.266,73",,
MANUFACTURAS UTHER SA,Mejorar a empleabilidad de las personas desempleadas,"400,00",,
MANUFACTURAS VALDEAVERO S.L.,Mejorar a empleabilidad de las personas desempleadas,"819,91",,
MANUFACTURAS VALL BENAIGES SA,Mejorar a empleabilidad de las personas desempleadas,"3.126,34",,
MANUFACTURAS VENTAL SA,Mejorar a empleabilidad de las personas desempleadas,"356,61",,
MANUFACTURAS VERVI SL,Mejorar a empleabilidad de las personas desempleadas,"365,96",,
MANUFACTURAS VETTEL S L,Mejorar a empleabilidad de las personas desempleadas,"5.242,38",,
MANUFACTURAS VILABOA SL,Mejorar a empleabilidad de las personas desempleadas,"529,87",,
"MANUFACTURAS VILLAMORE, SL",Mejorar a empleabilidad de las personas desempleadas,"436,67",,
MANUFACTURAS Y EMBALAJES MESEGUER-GINER SL,Mejorar a empleabilidad de las personas desempleadas,"100,00",,
MANUFACTURAS Y TRANSFORMADOS AB SL,Mejorar a empleabilidad de las personas desempleadas,"196,76",,
"MANUFACTURAS YABEL, S.L.",Mejorar a empleabilidad de las personas desempleadas,"3.945,98",,
MANUFACTURAS YAIZA SLU,Mejorar a empleabilidad de las personas desempleadas,"493,44",,
MANUFACTURAS YUSTE SA,Mejorar a empleabilidad de las personas desempleadas,"29,97",,
"MANUFACTURATS TEXCON, SL",Mejorar a empleabilidad de las personas desempleadas,"4.079,73",,
MANUFACTURES DE LA FUSTA SL,Mejorar a empleabilidad de las personas desempleadas,"1.896,67",,
"MANUFACTURES GIBEL, SL",Mejorar a empleabilidad de las personas desempleadas,"1.505,56",,
MANUFACTURES INDUSTRIALS DE TORTELLA SA,Mejorar a empleabilidad de las personas desempleadas,"768,89",,
"MANUFACTURES METAL.LIQUES F. MICHELI, SL",Mejorar a empleabilidad de las personas desempleadas,"1.900,00",,
MANUGLASS SL,Mejorar a empleabilidad de las personas desempleadas,"1.518,10",,
"MANUKIT RIOJA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"557,17",,
MANULI AUTO IBERICA SL,Mejorar a empleabilidad de las personas desempleadas,"789,91",,
"MANUM MARKET STRATEGY, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.046,67",,
"MANUM TRAINING & DEVELOPMENT, SL",Mejorar a empleabilidad de las personas desempleadas,"1.345,77",,
MANUMAG SL,Mejorar a empleabilidad de las personas desempleadas,"1.500,00",,
"MANUPI2005, S.L.U.",Mejorar a empleabilidad de las personas desempleadas,"24,78",,
MANUQUIMICA ESPANA S.L.,Mejorar a empleabilidad de las personas desempleadas,"1.461,13",,
"MANUSA DOOR SYSTEMS, SL",Mejorar a empleabilidad de las personas desempleadas,"1.355,76",,
"MANUSA-GEST, SL",Mejorar a empleabilidad de las personas desempleadas,"1.214,24",,
"MANUTEC, SA",Mejorar a empleabilidad de las personas desempleadas,"451,08",,
"MANUTECHNIK CONTROL, SL",Mejorar a empleabilidad de las personas desempleadas,"1.345,77",,
"MANUTENCIO ROSICH, SL",Mejorar a empleabilidad de las personas desempleadas,"469,93",,
MANUTENCION CENTRO SA,Mejorar a empleabilidad de las personas desempleadas,"106,23",,
MANUTENCION INDUSTRIAL CATEL SL,Mejorar a empleabilidad de las personas desempleadas,"1.204,11",,
"MANUTENCION Y CARRETILLAS,S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.290,03",,
MANUTENCION Y ENVASES PLASTICOS SA,Mejorar a empleabilidad de las personas desempleadas,"649,50",,
"MANUTENCION, TECNICAS E INGENIERIA, SA",Mejorar a empleabilidad de las personas desempleadas,"1.498,98",,
MANUTENCIONES ELECTROMECANICAS THALES SL,Mejorar a empleabilidad de las personas desempleadas,"2.453,05",,
"MANUTROQ,S.L.",Mejorar a empleabilidad de las personas desempleadas,"779,13",,
"MANUVA SOLUTIONS, S.L. (EN FORMACION)",Mejorar a empleabilidad de las personas desempleadas,"1.053,05",,
"MANUXANA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"3.443,65",,
"MANVAR 2006,S.L.",Mejorar a empleabilidad de las personas desempleadas,"757,24",,
MANVIK 2006 SL,Mejorar a empleabilidad de las personas desempleadas,"1.196,42",,
"MANXA 1901, SL",Mejorar a empleabilidad de las personas desempleadas,"1.266,73",,
"MANXA FERRALLATS, SL",Mejorar a empleabilidad de las personas desempleadas,"2.002,07",,
MANXARICO SL,Mejorar a empleabilidad de las personas desempleadas,"1.809,69",,
MANY GRAY SL,Mejorar a empleabilidad de las personas desempleadas,"525,00",,
MANY THINGS SL,Mejorar a empleabilidad de las personas desempleadas,"773,26",,
"MANYERIA J. SUARI, SL",Mejorar a empleabilidad de las personas desempleadas,"1.345,77",,
"MANYET EXCAVACIONS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"623,23",,
MANYFER SL,Mejorar a empleabilidad de las personas desempleadas,"8.339,96",,
"MANZANA RODENAS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"444,35",,
"MANZANARES & ASOCIADOS, SERVICIOS DE ASESORAMIENTO, SL",Mejorar a empleabilidad de las personas desempleadas,"933,13",,
MANZANARES ABOGADOS SL,Mejorar a empleabilidad de las personas desempleadas,"5.248,88",,
MANZANARES ESCUDERO SL,Mejorar a empleabilidad de las personas desempleadas,"359,99",,
"MANZANARES GALLARDO, NOTARIOS, CB",Mejorar a empleabilidad de las personas desempleadas,"1.100,00",,
"MANZANARES INTERNACIONAL LAWYERS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"4.090,60",,
MANZANARES RUIZ SA,Mejorar a empleabilidad de las personas desempleadas,"5.385,95",,
"MANZANARES SERVICIOS GENERALES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.657,50",,
"MANZANEDA MASELLA, SL",Mejorar a empleabilidad de las personas desempleadas,"309,89",,
MANZANERO FOTO COLOR SL,Mejorar a empleabilidad de las personas desempleadas,"757,83",,
MANZANO AUTOS SL,Mejorar a empleabilidad de las personas desempleadas,"1.406,05",,
"MANZANO GALICIA, SL",Mejorar a empleabilidad de las personas desempleadas,"414,40",,
MANZANO-CORIAT SL,Mejorar a empleabilidad de las personas desempleadas,"2.479,28",,
MANZATRANS SL,Mejorar a empleabilidad de las personas desempleadas,"1.858,95",,
MAODE PINTURAS SL,Mejorar a empleabilidad de las personas desempleadas,"476,92",,
"MAORI SPIRIT, S.L.",Mejorar a empleabilidad de las personas desempleadas,"804,40",,
"MAP ARQUITECTOS, SL",Mejorar a empleabilidad de las personas desempleadas,"1.244,20",,
MAP ASESORES CONSULTORES SL,Mejorar a empleabilidad de las personas desempleadas,"2.731,66",,
"MAP COSMETICS, SL",Mejorar a empleabilidad de las personas desempleadas,"686,38",,
MAP ECONOMISTAS CONSULTORES SL,Mejorar a empleabilidad de las personas desempleadas,"56,66",,
MAP PALM SL,Mejorar a empleabilidad de las personas desempleadas,"1.896,33",,
MAPA ARMONIA SL,Mejorar a empleabilidad de las personas desempleadas,"639,22",,
MAPA ASESORES INFORMATICOS SA,Mejorar a empleabilidad de las personas desempleadas,"2.436,48",,
MAPA COURIER SL,Mejorar a empleabilidad de las personas desempleadas,"37,50",,
MAPA ELECTRICIDAD Y MONTAJES SL,Mejorar a empleabilidad de las personas desempleadas,"444,35",,
MAPA GASTRONOMICO SL,Mejorar a empleabilidad de las personas desempleadas,"748,84",,
MAPA PLUS SA,Mejorar a empleabilidad de las personas desempleadas,"1.700,00",,
MAPA TOURS SA,Mejorar a empleabilidad de las personas desempleadas,"1.900,00",,
"MAPAC INTEGRADORA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"584,35",,
"MAPACO, SL",Mejorar a empleabilidad de las personas desempleadas,"742,11",,
"MAPALEMA SERICIOS INTEGRADOS,S.L.",Mejorar a empleabilidad de las personas desempleadas,"266,68",,
"MAPALO, S.L.",Mejorar a empleabilidad de las personas desempleadas,"68,44",,
MAPAMODA XXI SL,Mejorar a empleabilidad de las personas desempleadas,"301,04",,
MAPAMUNDI GESTION S.L,Mejorar a empleabilidad de las personas desempleadas,"4.198,98",,
"MAPAUTO, SL",Mejorar a empleabilidad de las personas desempleadas,"1.250,96",,
MAPE ASESORES SA,Mejorar a empleabilidad de las personas desempleadas,"886,66",,
MAPE SEGURIDAD SA,Mejorar a empleabilidad de las personas desempleadas,"1.416,60",,
"MAPECO SOLUTIONS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"33,30",,
MAPEGAS SL,Mejorar a empleabilidad de las personas desempleadas,"1.900,00",,
"MAPEGUI, SL",Mejorar a empleabilidad de las personas desempleadas,"1.498,29",,
"MAPEJE, S.L.",Mejorar a empleabilidad de las personas desempleadas,"774,38",,
MAPEL PELUQUERIAS MADRID SL,Mejorar a empleabilidad de las personas desempleadas,"6.737,81",,
MAPELAR SA,Mejorar a empleabilidad de las personas desempleadas,"293,24",,
"MAPELCOS MAYORISTAS, S.L",Mejorar a empleabilidad de las personas desempleadas,"746,57",,
"MAPELI DENTAL, SL",Mejorar a empleabilidad de las personas desempleadas,"236,09",,
"MAPEM E HIJOS, S.L",Mejorar a empleabilidad de las personas desempleadas,"826,67",,
"MAPENSA, CB",Mejorar a empleabilidad de las personas desempleadas,"782,21",,
MAPER SERVICIOS Y OBRAS S.L.,Mejorar a empleabilidad de las personas desempleadas,"1.104,57",,
"MAPERMOTIC, S.L.",Mejorar a empleabilidad de las personas desempleadas,"128,83",,
"MAPESAT, MARTINEZ, PEREIRA, SL",Mejorar a empleabilidad de las personas desempleadas,"3.348,88",,
"MAPESHANK MONTECARLO, S.L.",Mejorar a empleabilidad de las personas desempleadas,"237,75",,
"MAP-ESTRUCTURAS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"835,49",,
"MAPEXBELL, S.L.",Mejorar a empleabilidad de las personas desempleadas,"11.358,72",,
MAPFRE AGROPECUARIA COMPANIA INTERNACIONAL DE SEGUROS Y,Mejorar a empleabilidad de las personas desempleadas,"7.649,64",,
MAPFRE CAJASALUD DE SEGUROS Y REASEGUROS SA,Mejorar a empleabilidad de las personas desempleadas,"4.764,43",,
MAPFRE CAUCION Y CREDITO COMPANIA INTERNACIONAL DE SEGU,Mejorar a empleabilidad de las personas desempleadas,"3.203,62",,
MAPFRE EMPRESAS COMPANIA DE SEGUROS Y REASEGUROS SA,Mejorar a empleabilidad de las personas desempleadas,"23.465,34",,
"MAPFRE FAMILIAR, S.A.",Mejorar a empleabilidad de las personas desempleadas,"11.003,53",,
MAPFRE GESTION DOS SA,Mejorar a empleabilidad de las personas desempleadas,"37.118,85",,
MAPFRE GUANARTEME COMPANIA DE SEGUROS DE REASEGUROS DE,Mejorar a empleabilidad de las personas desempleadas,"5.612,25",,
MAPFRE INMUEBLES SA,Mejorar a empleabilidad de las personas desempleadas,"557,14",,
MAPFRE QUAVITAE SA,Mejorar a empleabilidad de las personas desempleadas,"840,46",,
MAPFRE RE COMPANIA DE REASEGUROS SA,Mejorar a empleabilidad de las personas desempleadas,"3.423,44",,
MAPFRE VIDA SA DE SEGUROS Y REASEGUROS SOBRE LA,Mejorar a empleabilidad de las personas desempleadas,"17.021,26",,
MAPIBERIA F&B SL,Mejorar a empleabilidad de las personas desempleadas,"212,49",,
MAPICOL CONSTRUCCIONES SL,Mejorar a empleabilidad de las personas desempleadas,"226,66",,
MAPIFOXISA SL,Mejorar a empleabilidad de las personas desempleadas,"1.043,54",,
"MAPIN 99, SL",Mejorar a empleabilidad de las personas desempleadas,"173,26",,
MAPINSTAL BALEAR S.L.,Mejorar a empleabilidad de las personas desempleadas,"236,01",,
"MAPISON, CB",Mejorar a empleabilidad de las personas desempleadas,"188,86",,
MAPLANES ALIMENTARIA SL,Mejorar a empleabilidad de las personas desempleadas,"657,50",,
MAPLAT SPORT S.L.,Mejorar a empleabilidad de las personas desempleadas,"1.262,14",,
"MAP-MONTMELO, SL",Mejorar a empleabilidad de las personas desempleadas,"867,63",,
"MAPOMBRHI,S.L.",Mejorar a empleabilidad de las personas desempleadas,"756,61",,
