BENEFICIARIO,TIPO DE OPERACIÓN,PO FSE ADAPTABILIDAD Y EMPLEO
"LIGPENEDES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"92,04"
LIGROR SL,Mejorar a empleabilidad de las personas desempleadas,"1.469,96"
"LIGUA SERVICIOS PROFESIONALES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"611,50"
"LIJADOS CARRILLO, SL",Mejorar a empleabilidad de las personas desempleadas,"1.700,00"
"LIKA LOUNGE,S.L.",Mejorar a empleabilidad de las personas desempleadas,"293,90"
"LIKE MUSIC, SL",Mejorar a empleabilidad de las personas desempleadas,"2.817,13"
"LIL ONES, SL",Mejorar a empleabilidad de las personas desempleadas,"1.883,25"
"LILAC CALNATS, SL",Mejorar a empleabilidad de las personas desempleadas,"2.591,65"
LILIADYS SL,Mejorar a empleabilidad de las personas desempleadas,"115,69"
LILIBAY SA,Mejorar a empleabilidad de las personas desempleadas,"1.270,19"
LILICE DECORACION SL,Mejorar a empleabilidad de las personas desempleadas,"600,03"
"LILIPUT KINDERGARTEN, SL",Mejorar a empleabilidad de las personas desempleadas,"1.291,37"
"LILIPUT MOBILIARIO INFANTIL, .S.L.",Mejorar a empleabilidad de las personas desempleadas,"417,87"
"LILIUM FLEURS-A-PORTER, SL",Mejorar a empleabilidad de las personas desempleadas,"1.029,38"
LILOVA Y ASOCIADOS S.L.,Mejorar a empleabilidad de las personas desempleadas,"435,86"
"LIL-SHOES,S.L.UNIPERSONAL",Mejorar a empleabilidad de las personas desempleadas,"4.800,00"
LIM NOR 2003 SL,Mejorar a empleabilidad de las personas desempleadas,"1.115,00"
"LIM TV SERVICIOS, SL",Mejorar a empleabilidad de las personas desempleadas,"586,58"
"LIMA & LIMA SERVICIOS INMOBILIARIOS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"76,88"
LIMA IMPLANTES SL UNIPERSONAL,Mejorar a empleabilidad de las personas desempleadas,"101,48"
"LIMA LIMON BIOTIENDAS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.355,00"
LIMABU SL,Mejorar a empleabilidad de las personas desempleadas,"2.777,88"
LIMAC RIBALTA SL,Mejorar a empleabilidad de las personas desempleadas,"351,76"
"LIMADOS Y PULIDOS ANJUMA, SL",Mejorar a empleabilidad de las personas desempleadas,"900,00"
LIMAISA SL,Mejorar a empleabilidad de las personas desempleadas,"1.614,59"
"LIMANDI, S.L.",Mejorar a empleabilidad de las personas desempleadas,"353,18"
LIMAR BELDA SL,Mejorar a empleabilidad de las personas desempleadas,"1.789,91"
LIMARAG SERVICIOS DE LIMPIEZA SL,Mejorar a empleabilidad de las personas desempleadas,"361,33"
"LIMARCRI, S.L.U.",Mejorar a empleabilidad de las personas desempleadas,"398,63"
LIMASA MEDITERRANEA SA,Mejorar a empleabilidad de las personas desempleadas,"2.364,77"
"LIMASOL LOGISTICA, SL",Mejorar a empleabilidad de las personas desempleadas,"63,27"
LIMAYCO SL,Mejorar a empleabilidad de las personas desempleadas,"184,14"
LIMBALI NEGRE SA,Mejorar a empleabilidad de las personas desempleadas,"245,54"
"LIMBO LLEIDA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"306,92"
LIMCAMAR SL,Mejorar a empleabilidad de las personas desempleadas,"15.159,41"
LIMCE LIMPIEZAS Y MANTENIMIENTO SL,Mejorar a empleabilidad de las personas desempleadas,"1.660,46"
"LIMCO, S. COOP. LTDA",Mejorar a empleabilidad de las personas desempleadas,"746,08"
LIMCON QUITO SL,Mejorar a empleabilidad de las personas desempleadas,"798,52"
LIMDECOM 2001 SL,Mejorar a empleabilidad de las personas desempleadas,"1.325,83"
LIMECO SERVICIOS INTEGRALES DE,Mejorar a empleabilidad de las personas desempleadas,"546,61"
"LIMPIEZA,S.L.",Mejorar a empleabilidad de las personas desempleadas,
"LIMEREZ DOMINGUEZ GONZALO 000791558A, S.L.N.E.",Mejorar a empleabilidad de las personas desempleadas,"784,45"
"LIMESMAS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.570,00"
"LIMGEMAN LIMPIEZAS Y MULTISERVICIOS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"711,90"
LIMGESTA LIMPIEZAS S.L.,Mejorar a empleabilidad de las personas desempleadas,"942,71"
"LIMHEC, SL",Mejorar a empleabilidad de las personas desempleadas,"7.455,02"
"LIMIA CESPEDES, SL",Mejorar a empleabilidad de las personas desempleadas,"478,16"
LIMIA INTERIOR SL,Mejorar a empleabilidad de las personas desempleadas,"849,96"
"LIMIA REFORMAS, SL",Mejorar a empleabilidad de las personas desempleadas,"747,50"
"LIMIA TOURS, SL",Mejorar a empleabilidad de las personas desempleadas,"650,00"
LIMIANO SL,Mejorar a empleabilidad de las personas desempleadas,"977,45"
"LIMIAR ARQUITECTOS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.279,63"
LIMICOLA S.L.,Mejorar a empleabilidad de las personas desempleadas,"13.305,47"
LIMINAU AUTOMOVILES SL UNIPERSONAL,Mejorar a empleabilidad de las personas desempleadas,"533,30"
LIMINDMARK SL,Mejorar a empleabilidad de las personas desempleadas,"2.765,26"
"LIMIPIEZAS Y MANTENIMIENTOS AYALA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"54,30"
LIMIT PHONE SL,Mejorar a empleabilidad de las personas desempleadas,"400,00"
LIMIT SPORT SL,Mejorar a empleabilidad de las personas desempleadas,"322,18"
LIMIT TECNOLOGIES SA,Mejorar a empleabilidad de las personas desempleadas,"257,74"
LIMITE STREET SL,Mejorar a empleabilidad de las personas desempleadas,"1.068,75"
LIMO FERROL SL,Mejorar a empleabilidad de las personas desempleadas,"806,64"
"LIMOBEBE, SL",Mejorar a empleabilidad de las personas desempleadas,"26,55"
LIMOLERO SL,Mejorar a empleabilidad de las personas desempleadas,"1.968,47"
LIMON CLEAN SL,Mejorar a empleabilidad de las personas desempleadas,"1.197,00"
LIMONATTA SL,Mejorar a empleabilidad de las personas desempleadas,"1.900,00"
LIMONES TOMAS SL,Mejorar a empleabilidad de las personas desempleadas,"914,15"
LIMONIUM CANARIAS S.L.,Mejorar a empleabilidad de las personas desempleadas,"479,94"
"LIMOPARRA SERVIMENSA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"543,19"
LIMOUSINE COSTA CALIDA SL,Mejorar a empleabilidad de las personas desempleadas,"756,48"
"LIMOUSINE RENTAL, SA",Mejorar a empleabilidad de las personas desempleadas,"807,70"
"LIMP, TRES, SL",Mejorar a empleabilidad de las personas desempleadas,"1.341,21"
"LIMPARK CONTRATACIONES, SL",Mejorar a empleabilidad de las personas desempleadas,"4.413,58"
"LIMPAS REFORMAS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"101,52"
LIMPEC 21 SA,Mejorar a empleabilidad de las personas desempleadas,"3.146,54"
LIMPECO SL,Mejorar a empleabilidad de las personas desempleadas,"788,54"
LIMPER UNIC SL,Mejorar a empleabilidad de las personas desempleadas,"887,73"
"LIMPERGAL, SL",Mejorar a empleabilidad de las personas desempleadas,"2.849,99"
LIMPERGRAF SL,Mejorar a empleabilidad de las personas desempleadas,"2.334,91"
LIMPESIN SL,Mejorar a empleabilidad de las personas desempleadas,"239,04"
"LIMPEX, COM. B",Mejorar a empleabilidad de las personas desempleadas,"597,36"
"LIMPEZAS AZUL EN ACCION, SL",Mejorar a empleabilidad de las personas desempleadas,"2.431,07"
LIMPGOSA SL,Mejorar a empleabilidad de las personas desempleadas,"500,00"
LIMPIA Y COSE SL,Mejorar a empleabilidad de las personas desempleadas,"1.519,69"
LIMPIADORES ESPECIALISTAS INTEGRADOS DE SERVICIOSY MANT,Mejorar a empleabilidad de las personas desempleadas,"1.353,18"
LIMPIAQUEEN SL,Mejorar a empleabilidad de las personas desempleadas,"137,50"
"LIMPIARNET SERVICIOS GENERALES DE LIMPIEZA, SL",Mejorar a empleabilidad de las personas desempleadas,"842,84"
LIMPIASOL CB,Mejorar a empleabilidad de las personas desempleadas,"755,28"
LIMPIASOL SA,Mejorar a empleabilidad de las personas desempleadas,"359,94"
LIMPIBER SL,Mejorar a empleabilidad de las personas desempleadas,"2.564,14"
LIMPIEZA ACONDICIONAMIENTO Y RESTAURACION DE EDIFICIOS,Mejorar a empleabilidad de las personas desempleadas,"593,51"
"LIMPIEZA AMADOR, S.L.",Mejorar a empleabilidad de las personas desempleadas,"288,88"
LIMPIEZA DE SUPERFICIES SL,Mejorar a empleabilidad de las personas desempleadas,"126,54"
LIMPIEZA DESINFECCION Y MANTENIMIENTO S.L.,Mejorar a empleabilidad de las personas desempleadas,"38,41"
LIMPIEZA ECOLOGICA SL,Mejorar a empleabilidad de las personas desempleadas,"785,45"
LIMPIEZA FRANCO SA,Mejorar a empleabilidad de las personas desempleadas,"1.080,44"
LIMPIEZA GETAFE SA,Mejorar a empleabilidad de las personas desempleadas,"4.073,82"
LIMPIEZA INTEGRAL MORALEJA SL,Mejorar a empleabilidad de las personas desempleadas,"2.790,92"
"LIMPIEZA INTEGRAL Y TECNICA, SL",Mejorar a empleabilidad de las personas desempleadas,"56,66"
"LIMPIEZA JEREZ DE LANZAROTE, S.L.",Mejorar a empleabilidad de las personas desempleadas,"708,30"
LIMPIEZA LAS NIEVES OCCIDENTAL SL,Mejorar a empleabilidad de las personas desempleadas,"1.387,71"
LIMPIEZA MUNICIPAL DE LORCA SA,Mejorar a empleabilidad de las personas desempleadas,"15.594,97"
"LIMPIEZA PROFESIONAL DE VEHICULOS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"515,21"
"LIMPIEZA PROFESIONAL MURCIA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.065,02"
LIMPIEZA TOTAL EN EL VALLE DEL LOZOYA S.L.,Mejorar a empleabilidad de las personas desempleadas,"249,68"
LIMPIEZA TURISARH SL,Mejorar a empleabilidad de las personas desempleadas,"1.165,00"
"LIMPIEZA XTREMA,S.L.L.",Mejorar a empleabilidad de las personas desempleadas,"904,24"
LIMPIEZA Y AYUDA A DOMICILIO DE LORCA SDAD COOP,Mejorar a empleabilidad de las personas desempleadas,"424,98"
LIMPIEZA Y CONSERVACION RABEMA SL,Mejorar a empleabilidad de las personas desempleadas,"1.009,28"
"LIMPIEZA Y MANTENIMIENTO ALIMSER, SL",Mejorar a empleabilidad de las personas desempleadas,"875,94"
LIMPIEZA Y MANTENIMIENTO C. COSTA SL,Mejorar a empleabilidad de las personas desempleadas,"963,22"
LIMPIEZA Y MANTENIMIENTO IMPACTO SL,Mejorar a empleabilidad de las personas desempleadas,"43.001,97"
LIMPIEZA Y MANTENIMIENTO SA,Mejorar a empleabilidad de las personas desempleadas,"21.607,10"
LIMPIEZA Y MANTENIMIENTO SIGLO XXI SL,Mejorar a empleabilidad de las personas desempleadas,"1.474,85"
"LIMPIEZA Y REPARACIONES ITC ASTURIAS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"316,36"
LIMPIEZA Y SERVICIOS SANHER SL,Mejorar a empleabilidad de las personas desempleadas,"1.210,69"
"LIMPIEZAS 2010, S.L.",Mejorar a empleabilidad de las personas desempleadas,"3.693,04"
"LIMPIEZAS ABANDO, SL",Mejorar a empleabilidad de las personas desempleadas,"4.430,45"
"LIMPIEZAS ABDON, S.L.",Mejorar a empleabilidad de las personas desempleadas,"7.108,69"
LIMPIEZAS AGRA SL,Mejorar a empleabilidad de las personas desempleadas,"440,00"
"LIMPIEZAS AGUAS BLANCAS, SL",Mejorar a empleabilidad de las personas desempleadas,"1.200,00"
LIMPIEZAS AGUAVIVA SL,Mejorar a empleabilidad de las personas desempleadas,"1.821,59"
"LIMPIEZAS AGUDO, S.L.",Mejorar a empleabilidad de las personas desempleadas,"273,85"
LIMPIEZAS AGUILERA SL.,Mejorar a empleabilidad de las personas desempleadas,"498,22"
LIMPIEZAS AGUILOR XXI S.L.,Mejorar a empleabilidad de las personas desempleadas,"544,97"
LIMPIEZAS AJARDINAMIENTOS Y SERVICIOS SERALIA SA,Mejorar a empleabilidad de las personas desempleadas,"172.025,87"
LIMPIEZAS ALARCON SL,Mejorar a empleabilidad de las personas desempleadas,"9.385,66"
LIMPIEZAS ALCALA SL,Mejorar a empleabilidad de las personas desempleadas,"425,60"
LIMPIEZAS ALCAZABA SA,Mejorar a empleabilidad de las personas desempleadas,"1.300,00"
LIMPIEZAS ALFANHUI SL,Mejorar a empleabilidad de las personas desempleadas,"1.331,79"
LIMPIEZAS ALGE SL,Mejorar a empleabilidad de las personas desempleadas,"97,50"
LIMPIEZAS ALIVEN SL,Mejorar a empleabilidad de las personas desempleadas,"391,07"
LIMPIEZAS ALMAGRUR SL,Mejorar a empleabilidad de las personas desempleadas,"1.274,97"
LIMPIEZAS ALMAZORA S.L.,Mejorar a empleabilidad de las personas desempleadas,"1.009,28"
LIMPIEZAS ALPE SA,Mejorar a empleabilidad de las personas desempleadas,"1.529,41"
LIMPIEZAS ALQUERIA S.L.,Mejorar a empleabilidad de las personas desempleadas,"999,25"
LIMPIEZAS AMERICA SL,Mejorar a empleabilidad de las personas desempleadas,"523,01"
LIMPIEZAS AMINA CB,Mejorar a empleabilidad de las personas desempleadas,"1.834,15"
LIMPIEZAS ANA DEL SURESTE SL,Mejorar a empleabilidad de las personas desempleadas,"1.184,54"
LIMPIEZAS ANA MARIA CARO SL,Mejorar a empleabilidad de las personas desempleadas,"8.713,62"
LIMPIEZAS ANAYA SL,Mejorar a empleabilidad de las personas desempleadas,"146,40"
"LIMPIEZAS ANFI,S.C.P.",Mejorar a empleabilidad de las personas desempleadas,"165,51"
"LIMPIEZAS ANJA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"268,33"
LIMPIEZAS ANSA SL,Mejorar a empleabilidad de las personas desempleadas,"3.952,47"
LIMPIEZAS ANTON SL,Mejorar a empleabilidad de las personas desempleadas,"918,40"
LIMPIEZAS ARANGUREN SL,Mejorar a empleabilidad de las personas desempleadas,"590,28"
LIMPIEZAS ARCA SA,Mejorar a empleabilidad de las personas desempleadas,"1.059,94"
LIMPIEZAS ARGIA SL,Mejorar a empleabilidad de las personas desempleadas,"1.475,39"
LIMPIEZAS ARIES SL,Mejorar a empleabilidad de las personas desempleadas,"1.558,78"
"LIMPIEZAS ARIMA, SL",Mejorar a empleabilidad de las personas desempleadas,"1.600,04"
LIMPIEZAS AROSA SL,Mejorar a empleabilidad de las personas desempleadas,"973,93"
"LIMPIEZAS ARROYOMOLINOS,SL",Mejorar a empleabilidad de las personas desempleadas,"656,73"
LIMPIEZAS ATLANTA SL,Mejorar a empleabilidad de las personas desempleadas,"2.082,98"
"LIMPIEZAS ATXUN 2006,S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.260,67"
LIMPIEZAS AUXILIAR MURCIANA SL,Mejorar a empleabilidad de las personas desempleadas,"1.433,30"
"LIMPIEZAS AYARZA, SL",Mejorar a empleabilidad de las personas desempleadas,"2.939,87"
LIMPIEZAS AYMAR SL,Mejorar a empleabilidad de las personas desempleadas,"1.589,91"
LIMPIEZAS BADIZ SL,Mejorar a empleabilidad de las personas desempleadas,"1.857,74"
LIMPIEZAS BALAIDOS SL,Mejorar a empleabilidad de las personas desempleadas,"225,05"
LIMPIEZAS BALLESTER SL,Mejorar a empleabilidad de las personas desempleadas,"5.289,10"
LIMPIEZAS BARCINO SA,Mejorar a empleabilidad de las personas desempleadas,"4.657,54"
LIMPIEZAS BARI SL,Mejorar a empleabilidad de las personas desempleadas,"1.220,00"
LIMPIEZAS BEN-FET S.L.,Mejorar a empleabilidad de las personas desempleadas,"379,92"
LIMPIEZAS BEREZKO SL,Mejorar a empleabilidad de las personas desempleadas,"167,03"
LIMPIEZAS BERMEJO SL,Mejorar a empleabilidad de las personas desempleadas,"450,00"
LIMPIEZAS BERNI SL,Mejorar a empleabilidad de las personas desempleadas,"764,93"
"LIMPIEZAS BIERLALLER, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.563,27"
LIMPIEZAS BIOK-GARBIKETAK CB,Mejorar a empleabilidad de las personas desempleadas,"448,72"
LIMPIEZAS BRAZOMAR SL,Mejorar a empleabilidad de las personas desempleadas,"1.062,45"
LIMPIEZAS BRILLASTUR SL,Mejorar a empleabilidad de las personas desempleadas,"3.772,42"
LIMPIEZAS BRILLO SA,Mejorar a empleabilidad de las personas desempleadas,"4.444,59"
LIMPIEZAS BRIMAS SL,Mejorar a empleabilidad de las personas desempleadas,"63,16"
LIMPIEZAS BUENDIA SL,Mejorar a empleabilidad de las personas desempleadas,"1.886,19"
LIMPIEZAS BUSTAR S.L.,Mejorar a empleabilidad de las personas desempleadas,"1.190,08"
"LIMPIEZAS CABALIMP 2000, S.L.",Mejorar a empleabilidad de las personas desempleadas,"267,37"
LIMPIEZAS CABANA 2000 SL,Mejorar a empleabilidad de las personas desempleadas,"849,96"
LIMPIEZAS CABANAS SL,Mejorar a empleabilidad de las personas desempleadas,"817,43"
LIMPIEZAS CAMACHO SL,Mejorar a empleabilidad de las personas desempleadas,"900,00"
LIMPIEZAS CANAL CB,Mejorar a empleabilidad de las personas desempleadas,"91,40"
LIMPIEZAS CANAUJASAL CANARIAS SL,Mejorar a empleabilidad de las personas desempleadas,"1.500,00"
"LIMPIEZAS CANDELA,S.L.",Mejorar a empleabilidad de las personas desempleadas,"243,33"
"LIMPIEZAS CANOVAS, CB",Mejorar a empleabilidad de las personas desempleadas,"903,04"
LIMPIEZAS CARDESOL SL,Mejorar a empleabilidad de las personas desempleadas,"4.927,08"
"LIMPIEZAS CARTAGENA, SA",Mejorar a empleabilidad de las personas desempleadas,"540,99"
LIMPIEZAS CASELLES CB,Mejorar a empleabilidad de las personas desempleadas,"2.461,35"
LIMPIEZAS CASILLAS SL,Mejorar a empleabilidad de las personas desempleadas,"782,03"
"LIMPIEZAS CASTEJON, SL",Mejorar a empleabilidad de las personas desempleadas,"943,65"
LIMPIEZAS CASTILLA DE SALAMANCA SL,Mejorar a empleabilidad de las personas desempleadas,"8.764,14"
LIMPIEZAS CASTILLA TARRACONENSE SA LABORAL,Mejorar a empleabilidad de las personas desempleadas,"1.476,66"
LIMPIEZAS CATAN SL,Mejorar a empleabilidad de las personas desempleadas,"950,00"
LIMPIEZAS CAUDAL SL- EN CONSTITUCION,Mejorar a empleabilidad de las personas desempleadas,"1.497,04"
"LIMPIEZAS CAUDETE, S.L.",Mejorar a empleabilidad de las personas desempleadas,"2.620,97"
LIMPIEZAS CEBRINO SL,Mejorar a empleabilidad de las personas desempleadas,"73,08"
LIMPIEZAS CEUTA SL,Mejorar a empleabilidad de las personas desempleadas,"2.809,15"
LIMPIEZAS CIES SL,Mejorar a empleabilidad de las personas desempleadas,"918,93"
LIMPIEZAS CIGALES DE SERVICIOS INTEGRALES S.L.,Mejorar a empleabilidad de las personas desempleadas,"848,38"
LIMPIEZAS CIUDAD SL,Mejorar a empleabilidad de las personas desempleadas,"832,23"
LIMPIEZAS CLAROSOL SL,Mejorar a empleabilidad de las personas desempleadas,"2.180,51"
"LIMPIEZAS CLEAN SERVICE, SL",Mejorar a empleabilidad de las personas desempleadas,"429,95"
"LIMPIEZAS COLOMA, SL",Mejorar a empleabilidad de las personas desempleadas,"496,57"
LIMPIEZAS COMUNITARIAS DE NAVARRA SL,Mejorar a empleabilidad de las personas desempleadas,"749,85"
LIMPIEZAS CONQUENSES ESPEJO SL,Mejorar a empleabilidad de las personas desempleadas,"1.690,85"
"LIMPIEZAS CONSEJERIAS Y MANTENIMIENTOS NAVARRO, SL",Mejorar a empleabilidad de las personas desempleadas,"889,93"
LIMPIEZAS CONTERO S.L.,Mejorar a empleabilidad de las personas desempleadas,"2.029,06"
LIMPIEZAS CORDOBA ALICANTE SL,Mejorar a empleabilidad de las personas desempleadas,"92.834,97"
LIMPIEZAS COSTA DA NORTE S.L.,Mejorar a empleabilidad de las personas desempleadas,"192,44"
LIMPIEZAS COY S.L.,Mejorar a empleabilidad de las personas desempleadas,"923,15"
"LIMPIEZAS CR,S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.277,57"
LIMPIEZAS CRESPO SA,Mejorar a empleabilidad de las personas desempleadas,"266,68"
LIMPIEZAS CRISMA SL,Mejorar a empleabilidad de las personas desempleadas,"886,67"
"LIMPIEZAS CRISTAL, S.L.",Mejorar a empleabilidad de las personas desempleadas,"99,46"
LIMPIEZAS CRISTALINAS SL,Mejorar a empleabilidad de las personas desempleadas,"958,42"
"LIMPIEZAS DARLON, SL",Mejorar a empleabilidad de las personas desempleadas,"1.185,17"
LIMPIEZAS DE DIEGO SL,Mejorar a empleabilidad de las personas desempleadas,"3.588,38"
"LIMPIEZAS DE FINCAS ZAMORA, SL",Mejorar a empleabilidad de las personas desempleadas,"1.369,93"
LIMPIEZAS DE MERIDA. SL EN CONSTITUCION,Mejorar a empleabilidad de las personas desempleadas,"33,04"
LIMPIEZAS DEL NOROESTE SA,Mejorar a empleabilidad de las personas desempleadas,"493,24"
LIMPIEZAS DEL PONIENTE SL,Mejorar a empleabilidad de las personas desempleadas,"5.634,09"
LIMPIEZAS DEYSE S.L.,Mejorar a empleabilidad de las personas desempleadas,"15.394,68"
LIMPIEZAS DIMOBA SL,Mejorar a empleabilidad de las personas desempleadas,"1.114,37"
LIMPIEZAS DOMINGO PEREZ SL,Mejorar a empleabilidad de las personas desempleadas,"203,44"
LIMPIEZAS DOROMAR SL EN CONSTITUCINN,Mejorar a empleabilidad de las personas desempleadas,"2.202,13"
LIMPIEZAS DOS HERMANAS CB,Mejorar a empleabilidad de las personas desempleadas,"491,95"
