nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
"SOCIEDAD PARA EL FOMENTO Y PROMOCION DEL DESARROLLO SOCIOECONOMICO DE CEUTA, S.A. (PROCESA)",ESTUDIO GEOTECNICO ESCUELA DE LA CONSTRUCCION,"6.407,44",6407.44,"6.407,44",6407.44,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
"SOCIEDAD PARA EL FOMENTO Y PROMOCION DEL DESARROLLO SOCIOECONOMICO DE CEUTA, S.A. (PROCESA)",PROYECTO URBANIZACIÓN AGRUPACION NORTE PRINCIPE ALFONSO,"18.000,00",18000.00,"18.000,00",18000.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
"SOCIEDAD PARA EL FOMENTO Y PROMOCION DEL DESARROLLO SOCIOECONOMICO DE CEUTA, S.A. (PROCESA)",ADECUACION ESCALERAS REAL 90-CANALEJAS,"90.607,00",90607.00,"90.607,00",90607.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
"SOCIEDAD PARA EL FOMENTO Y PROMOCION DEL DESARROLLO SOCIOECONOMICO DE CEUTA, S.A. (PROCESA)",ACONDICONAMIENTO ACCESO MURALLAS REALES,"133.385,08",133385.08,"133.384,78",133384.78,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
"SOCIEDAD PARA EL FOMENTO Y PROMOCION DEL DESARROLLO SOCIOECONOMICO DE CEUTA, S.A. (PROCESA)",ACONDICIONAMIENTO PLAZA JUAN DE JUANES,"173.588,77",173588.77,"173.588,77",173588.77,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
"SOCIEDAD PARA EL FOMENTO Y PROMOCION DEL DESARROLLO SOCIOECONOMICO DE CEUTA, S.A. (PROCESA)",ADECUACION INTEGRAL DE VIALES Y ACERADO BARRIADA JUAN CARLOS I,"2.555.968,68",2555968.68,"83.420,11",83420.11,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
"SOCIEDAD PARA EL FOMENTO Y PROMOCION DEL DESARROLLO SOCIOECONOMICO DE CEUTA, S.A. (PROCESA)",ACONDICIONAMIENTO DE VIALES Y ACERADOS EN BARRIADA EL SARDINERO,"359.912,06",359912.06,"238.764,01",238764.01,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
"SOCIEDAD PARA EL FOMENTO Y PROMOCION DEL DESARROLLO SOCIOECONOMICO DE CEUTA, S.A. (PROCESA)",ADECUACION ZONA PARQUE INFANTIL Y PISTA POLID. EN BARRIADA PRINCIPE ALFONSO,"214.312,78",214312.78,"214.312,78",214312.78,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
"SOCIEDAD PARA EL FOMENTO Y PROMOCION DEL DESARROLLO SOCIOECONOMICO DE CEUTA, S.A. (PROCESA)",REMODELACION PARTERRES POLIGONO VIRGEN DE AFRICA,"196.110,29",196110.29,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
"SOCIEDAD PARA EL FOMENTO Y PROMOCION DEL DESARROLLO SOCIOECONOMICO DE CEUTA, S.A. (PROCESA)","REMODELACION PARTERRES BDAS SOLIS, SAN DANIEL Y GRUPOS EL ROCIO","159.003,09",159003.09,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
