nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
JUNTA DE EXTREMADURA,OB072PA17020-DIRECCIÓN FACULTATIVA OBRA,"2.150,00",2150.00,"2.150,00",2150.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17022-H.D.F DIRECCIÓN OBRAS,"1.210,00",1210.00,"1.210,00",1210.00,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17022-H.D. Y COORDINACIÓN SEG Y SALUD OBRAS,"2.022,00",2022.00,"2.022,00",2022.00,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072CC01055-Acondic.cubiertas limpieza de las mismas y reparac. De humedades en el edificio San Jorge,"30.044,00",30044.00,"30.044,00",30044.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072CR01058-RESTAURACIÓN PINTURAS PRESBITERIO CONVENTO CLARISAS LLERENA,"58.261,37",58261.37,"58.261,37",58261.37,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072CR01056-OBRA RESTAURACIÓN ESTRUCTURA E IMAGINERÍA RETABLO IGLESIA PARROQUIAL SAN JUAN BAUTISTA.,"57.775,87",57775.87,"57.775,87",57775.87,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072CR01057-RESTAURACIÓN PINTURAS MURALES IGLESIA SAN BLAS,"58.241,95",58241.95,"58.241,95",58241.95,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17029-REHABILITACIÓN CUBIERTA IGLESIA STA MARÍA,"59.841,25",59841.25,"59.841,25",59841.25,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17029-HONORAR DIRECC Y COORDINACIÓN DE SEGU Y SALUD,"2.800,00",2800.00,"2.800,00",2800.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17029-HONORARIOS DIRECCIÓN DE OBRAS,"2.000,00",2000.00,"2.000,00",2000.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB0729A01094- El Carrascalejo. Restaurac. Torre Iglesia,"12.831,32",12831.32,"12.831,32",12831.32,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,RI072RE02001-EJECUCIÓN PROYECTO MUSEÓLOGICO Y MUSEOGRÁFICO SAN VICENTE DE ALCANTARA,"297.000,00",297000.00,"297.000,00",297000.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,RED DE TEATROS,"36.100,00",36100.00,"36.100,00",36100.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB073RT17008-REHABILITACIÓN TEATRO-CINE AURORA GRANJA DE TORREHERMOSA,"1.154.094,10",1154094.10,"1.035.562,18",1035562.18,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB073PR17001-AT-H.D Y COORD SEGU Y SALUD,"4.300,00",4300.00,"4.300,00",4300.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB073PR17001-CONSTRUCCIÓN CONCHA ACÚSTICA TEATRO DE LA MERCED,"166.433,38",166433.38,"166.433,38",166433.38,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB073PR17015-ACONDICIONAMIENTO ACUSTICO TEATRO ARROYO DE LA LUZ,"421.130,14",421130.14,"421.130,14",421130.14,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
