nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
ASOCIACION GAIA,ASOCIACION GAIA,"84.674,00",84674.00,"84.674,00",84674.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION GAIA,ASOCIACION GAIA,"7.975,20",7975.20,"7.975,20",7975.20,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACIÓN GESTIÓN LABORATORIOS INDUSTRIALES,PROMECO 07 - ASOCIACIÓN GESTIÓN LABORATORIOS INDUSTRIALES,"20.000,00",20000.00,"20.000,00",20000.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACIÓN PREVENCIÓN DE RIESGOS LABORALES SAN PRUDENCIO,PROMECO 07 - ASOCIACIÓN PREVENCIÓN RIESGOS LABORALES SAN PRUDENCIO,"5.550,44",5550.44,"5.550,44",5550.44,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION SIDEREX,ASOCIACION SIDEREX,"44.015,00",44015.00,"44.015,00",44015.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION UNIPORT BILBAO-COM.PORTUARIA,ASOCIACION UNIPORT BILBAO-COM.PORTUARIA,"84.207,00",84207.00,"84.207,00",84207.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION VASCA FABRICANTES DE FIJACION,ASOCIACION VASCA FABRICANTES DE FIJACION,"12.976,00",12976.00,"12.976,00",12976.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION VICOMTECH,ASOCIACION VICOMTECH,"10.240,00",10240.00,"10.240,00",10240.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION VICOMTECH,ASOCIACION VICOMTECH,"25.000,00",25000.00,"25.000,00",25000.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASTIGARRAGA KIT LINE S.L.,ASTIGARRAGA KIT LINE S.L.,"24.000,00",24000.00,"24.000,00",24000.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
AURRENAK S.C.L.,AURRENAK S.C.L.,"64.624,00",64624.00,"64.624,00",64624.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
AURRENAK S.C.L.,AURRENAK S.C.L.,"32.536,80",32536.80,"32.536,80",32536.80,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
AURRENAK S.COOP.,SAIATU 08 - AURRENAK S. COOP.,"3.450,00",3450.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
AUTOKOMP INGENIERIA S.A.,AUTOKOMP INGENIERIA S.A.,"14.258,51",14258.51,"14.258,51",14258.51,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
"AUXILIAR LAMINADORA ALAVESA, S.A.",MDIR1-AUSTRALIA-FERROCARRIL-MAFEX,"1.410,91",1410.91,"1.410,91",1410.91,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
"AYZAR, S.A.","PROMECO 07 - AYZAR, S.A.","300,00",300.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
"AZ PROCESOS PARTICIPATIVOS, S.L.","PRONUE 07 - AZ PROCESOS PARTICIPATIVOS, S.L.","1.565,95",1565.95,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
"AZCOAGA, S.A.","SAIATU 08 - AZCOAGA, S.A.","9.804,00",9804.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
AZCUE Y CIA. S.A.,AZCUE Y CIA. S.A.,"15.000,00",15000.00,"15.000,00",15000.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
"AZOL -GAS, S.L.","PROMECO 07 - AZOL -GAS, S.L.","20.000,00",20000.00,"20.000,00",20000.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
"AZOL-GAS, S.L.","SAIATU 08 - AZOL-GAS, S.L.","11.706,90",11706.90,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
AZOL-GAS S.L.,AZOL-GAS S.L.,"15.091,55",15091.55,"15.091,55",15091.55,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
"AZOLGAS, S.L.","PROMECO 07 - AZOLGAS, S.L.","11.076,68",11076.68,"9.748,92",9748.92,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
"AZUL MULTIMEDIA, S.L.","SAIATU 08 - AZUL MULTIMEDIA, S.L.","14.700,00",14700.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
"AZUL MULTIMEDIA, S.L.","PROMECO 07 - AZUL MULTIMEDIA, S.L.","19.200,00",19200.00,"19.200,00",19200.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
